"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.668654890E-1,-6.524199992E-2,3.441664875E-1,9.795277596E0,9.801539178E0
2.693860100E-1,-6.045359373E-2,3.441664875E-1,9.776124001E0,9.782367080E0
2.719065830E-1,-6.045359373E-2,3.345896900E-1,9.771335602E0,9.777249324E0
2.744271550E-1,-7.481880486E-2,3.489548862E-1,9.776124001E0,9.782636037E0
2.769477800E-1,-8.439560980E-2,3.393780887E-1,9.785700798E0,9.791947723E0
2.794684050E-1,-8.439560980E-2,3.393780887E-1,9.804854393E0,9.811089123E0
2.819890300E-1,-8.439560980E-2,3.345896900E-1,9.790489197E0,9.796568358E0
2.845097080E-1,-7.481880486E-2,3.345896900E-1,9.780912399E0,9.786919611E0
2.870304370E-1,-5.566519126E-2,3.298012912E-1,9.795277596E0,9.800986209E0
2.895512180E-1,-8.918401599E-2,3.489548862E-1,9.795277596E0,9.801897085E0
2.920720510E-1,-8.918401599E-2,3.441664875E-1,9.804854393E0,9.811298285E0
2.945928850E-1,-8.918401599E-2,3.250128925E-1,9.804854393E0,9.810645078E0
2.971137180E-1,-1.035492271E-1,3.058592677E-1,9.790489197E0,9.795812934E0
2.996345510E-1,-8.918401599E-2,3.154360652E-1,9.785700798E0,9.791189601E0
3.021549160E-1,-8.439560980E-2,3.058592677E-1,9.800065994E0,9.805200967E0
3.046751240E-1,-8.918401599E-2,2.962824702E-1,9.790489197E0,9.795377267E0
3.071953330E-1,-8.439560980E-2,3.106476665E-1,9.785700798E0,9.790994061E0
3.097155410E-1,-1.035492271E-1,3.058592677E-1,9.766547203E0,9.771883984E0
3.122357490E-1,-9.397241473E-2,3.106476665E-1,9.756970406E0,9.762366736E0
3.147560100E-1,-8.439560980E-2,3.202244639E-1,9.776124001E0,9.781731278E0
3.172763220E-1,-7.960720360E-2,3.202244639E-1,9.785700798E0,9.791262489E0
3.197966870E-1,-9.397241473E-2,3.202244639E-1,9.785700798E0,9.791389821E0
3.223171030E-1,-8.439560980E-2,3.202244639E-1,9.800065994E0,9.805659581E0
3.248375720E-1,-8.918401599E-2,3.058592677E-1,9.780912399E0,9.786099889E0
3.273580930E-1,-7.960720360E-2,3.250128925E-1,9.780912399E0,9.786634664E0
3.298786660E-1,-7.960720360E-2,3.345896900E-1,9.804854393E0,9.810884631E0
3.323992910E-1,-6.524199992E-2,3.250128925E-1,9.804854393E0,9.810456644E0
3.349199680E-1,-7.003039867E-2,3.298012912E-1,9.800065994E0,9.805863891E0
3.374406970E-1,-7.003039867E-2,3.250128925E-1,9.800065994E0,9.805704010E0
3.399614780E-1,-6.045359373E-2,3.106476665E-1,9.800065994E0,9.805174659E0
3.424823120E-1,-6.524199992E-2,3.250128925E-1,9.795277596E0,9.800885321E0
3.450031450E-1,-6.045359373E-2,3.250128925E-1,9.804854393E0,9.810425969E0
3.475239780E-1,-6.045359373E-2,3.154360652E-1,9.804854393E0,9.810113364E0
3.500448120E-1,-7.003039867E-2,3.154360652E-1,9.814431190E0,9.819748661E0
3.525656450E-1,-5.566519126E-2,3.250128925E-1,9.800065994E0,9.805611938E0
3.550864780E-1,-5.566519126E-2,3.298012912E-1,9.800065994E0,9.805771821E0
3.576073120E-1,-7.003039867E-2,3.298012912E-1,9.828796387E0,9.834577345E0
3.601281450E-1,-5.566519126E-2,3.154360652E-1,9.819219589E0,9.824442573E0
3.626488740E-1,-6.045359373E-2,3.154360652E-1,9.790489197E0,9.795755880E0
3.651692390E-1,-8.439560980E-2,3.202244639E-1,9.776124001E0,9.781731278E0
3.676896030E-1,-7.481880486E-2,3.393780887E-1,9.785700798E0,9.791869865E0
3.702099680E-1,-6.524199992E-2,3.345896900E-1,9.795277596E0,9.801207576E0
3.727303330E-1,-5.566519126E-2,3.202244639E-1,9.809642792E0,9.815025931E0
3.752506970E-1,-7.481880486E-2,3.298012912E-1,9.814431190E0,9.820255920E0
3.777710620E-1,-6.045359373E-2,3.537433147E-1,9.804854393E0,9.811419807E0
3.802914260E-1,-7.003039867E-2,3.441664875E-1,9.795277596E0,9.801572221E0
3.828117910E-1,-6.045359373E-2,3.585317135E-1,9.795277596E0,9.802023403E0
3.853321550E-1,-7.003039867E-2,3.298012912E-1,9.814431190E0,9.820220606E0
3.878525200E-1,-7.960720360E-2,3.393780887E-1,9.800065994E0,9.806263727E0
3.903728850E-1,-7.481880486E-2,3.250128925E-1,9.780912399E0,9.786596885E0
3.928932490E-1,-7.481880486E-2,3.345896900E-1,9.790489197E0,9.796490536E0
3.954136660E-1,-7.003039867E-2,3.489548862E-1,9.780912399E0,9.787385817E0
3.979341350E-1,-7.481880486E-2,3.537433147E-1,9.785700798E0,9.792378276E0
4.004546550E-1,-6.045359373E-2,3.345896900E-1,9.800065994E0,9.805962390E0
4.029752280E-1,-6.524199992E-2,3.441664875E-1,9.780912399E0,9.787183173E0
4.054958530E-1,-7.003039867E-2,3.537433147E-1,9.790489197E0,9.797128013E0
4.080165300E-1,-7.481880486E-2,3.393780887E-1,9.785700798E0,9.791869865E0
4.105372600E-1,-8.439560980E-2,3.345896900E-1,9.795277596E0,9.801353787E0
4.130580410E-1,-8.439560980E-2,3.489548862E-1,9.785700798E0,9.792284322E0
4.155788220E-1,-7.003039867E-2,3.537433147E-1,9.795277596E0,9.801913168E0
4.180996030E-1,-7.960720360E-2,3.585317135E-1,9.790489197E0,9.797375210E0
4.206203850E-1,-7.003039867E-2,3.537433147E-1,9.785700798E0,9.792342861E0
4.231410100E-1,-7.003039867E-2,3.537433147E-1,9.780912399E0,9.787557711E0
4.256615300E-1,-7.481880486E-2,3.633201122E-1,9.785700798E0,9.792728908E0
4.281820510E-1,-7.003039867E-2,3.537433147E-1,9.795277596E0,9.801913168E0
4.307025720E-1,-7.003039867E-2,3.489548862E-1,9.795277596E0,9.801741526E0
4.332230930E-1,-7.481880486E-2,3.489548862E-1,9.790489197E0,9.796991685E0
4.357436140E-1,-8.439560980E-2,3.681085110E-1,9.785700798E0,9.792985582E0
4.382641870E-1,-8.439560980E-2,3.633201122E-1,9.790489197E0,9.797591685E0
4.407848120E-1,-1.035492271E-1,3.633201122E-1,9.800065994E0,9.807345076E0
4.433054890E-1,-9.397241473E-2,3.681085110E-1,9.795277596E0,9.802642392E0
4.458262180E-1,-1.035492271E-1,3.681085110E-1,9.790489197E0,9.797954125E0
4.483469470E-1,-1.083376259E-1,3.633201122E-1,9.814431190E0,9.821751277E0
4.508676760E-1,-9.397241473E-2,3.728969097E-1,9.824007988E0,9.831531715E0
4.533884050E-1,-9.397241473E-2,3.776853085E-1,9.809642792E0,9.817360577E0
4.559091350E-1,-9.876082093E-2,3.920505345E-1,9.804854393E0,9.813186383E0
4.584298640E-1,-1.035492271E-1,3.920505345E-1,9.804854393E0,9.813235742E0
4.609504890E-1,-9.876082093E-2,3.968389332E-1,9.809642792E0,9.818163094E0
4.634707490E-1,-9.876082093E-2,4.016273320E-1,9.824007988E0,9.832710265E0
4.659910100E-1,-8.918401599E-2,4.112041295E-1,9.800065994E0,9.809094562E0
4.685112700E-1,-8.439560980E-2,4.064157307E-1,9.814431190E0,9.823204974E0
4.710315300E-1,-8.918401599E-2,4.064157307E-1,9.819219589E0,9.828031384E0
4.735517910E-1,-7.003039867E-2,4.159925580E-1,9.814431190E0,9.823492946E0
4.760721030E-1,-7.003039867E-2,4.207809567E-1,9.809642792E0,9.818913004E0
4.785924680E-1,-7.960720360E-2,4.159925580E-1,9.804854393E0,9.813998002E0
4.811128850E-1,-6.524199992E-2,4.255693555E-1,9.819219589E0,9.828653984E0
4.836333530E-1,-5.566519126E-2,4.351461530E-1,9.804854393E0,9.814663543E0
4.861538740E-1,-4.608838260E-2,4.255693555E-1,9.809642792E0,9.818977804E0
4.886744470E-1,-5.566519126E-2,4.351461530E-1,9.790489197E0,9.800312725E0
