"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.528291250E-1,-1.644027233E-2,-1.132589579E-2,-1.035404205E-2,2.248921200E-2
5.578496460E-1,-6.918668747E-3,2.973616123E-3,-1.026821136E-2,1.273367719E-2
5.628701660E-1,2.511262894E-3,-6.430625916E-3,-1.493740082E-2,1.645555633E-2
5.678906870E-1,-2.321481705E-3,-1.099324226E-2,4.163742065E-3,1.198237876E-2
5.729112080E-1,2.325177193E-3,-1.234948635E-3,1.833820343E-2,1.852623146E-2
5.779317290E-1,-7.357358932E-3,-1.523947716E-2,2.763271332E-2,3.240276593E-2
5.829522500E-1,-7.454156876E-3,-1.491755247E-2,1.786613464E-2,2.443965208E-2
5.879727710E-1,-7.501959801E-3,-1.945447922E-2,3.192901611E-2,3.813421341E-2
5.929932910E-1,-2.812147141E-3,-1.927536726E-2,3.163433075E-2,3.715075822E-2
5.980138120E-1,1.842498779E-3,-2.393764257E-2,3.135108948E-2,3.948792658E-2
6.030343330E-1,1.758694649E-3,-2.861875296E-2,2.633380890E-2,3.893065012E-2
6.080548540E-1,-1.251828671E-2,-1.917982101E-2,2.612304688E-2,3.474171289E-2
6.130753750E-1,-1.237428188E-2,-5.114614964E-3,2.592468262E-2,2.917826772E-2
6.180958960E-1,-1.228678226E-2,-1.016634703E-2,1.147937775E-2,1.964931917E-2
6.231164160E-1,-2.701044083E-3,-1.047396660E-2,-2.841949463E-3,1.118375126E-2
6.281369370E-1,-1.688611507E-2,-1.537299156E-2,6.695747375E-3,2.379711715E-2
6.331574580E-1,-1.681339741E-2,-1.191318035E-3,6.642341614E-3,1.811712651E-2
6.381779790E-1,-1.678991318E-2,-1.556158066E-2,1.832962036E-3,2.296570763E-2
6.431985000E-1,-7.275462151E-3,-1.552647352E-2,6.557464600E-3,1.835767065E-2
6.482190210E-1,-7.331490517E-3,-1.542872190E-2,6.491661072E-3,1.827396717E-2
6.532395410E-1,-2.692937851E-3,-1.523441076E-2,6.414413452E-3,1.674765313E-2
6.582600620E-1,-7.535696030E-3,-1.978456974E-2,1.595497131E-3,2.123114518E-2
6.632805830E-1,-2.838253975E-3,-1.959413290E-2,1.106452942E-2,2.268059834E-2
6.683011040E-1,-2.931237221E-3,-1.461094618E-2,2.994918823E-2,3.345184263E-2
6.733216250E-1,-7.823586464E-3,-1.921784878E-2,2.493095398E-2,3.243588573E-2
6.783421460E-1,-7.823586464E-3,-2.383780479E-2,2.946567535E-2,3.869981223E-2
6.833626660E-1,-1.262354851E-2,-2.372235060E-2,2.446269989E-2,3.633906411E-2
6.883831870E-1,-7.777810097E-3,-1.415091753E-2,1.951599121E-2,2.533015416E-2
6.934037080E-1,1.716136932E-3,-3.327047825E-2,2.410793304E-2,4.112252770E-2
6.984242290E-1,-7.808923721E-3,-2.848255634E-2,1.442146301E-2,3.286660769E-2
7.034447500E-1,1.693844795E-3,-1.417458057E-2,4.807472229E-3,1.506318804E-2
7.084652710E-1,-7.776618004E-3,-1.903706789E-2,4.784584045E-3,2.111345509E-2
7.134857910E-1,-1.252543926E-2,-1.906472445E-2,-9.536743164E-7,2.281118909E-2
7.185063120E-1,-1.723182201E-2,-1.908642054E-2,9.498596191E-3,2.741259689E-2
7.235268330E-1,-1.720201969E-2,-1.425635815E-2,-8.583068848E-5,2.234190225E-2
7.285473540E-1,-1.237809658E-2,-1.897495985E-2,4.660606384E-3,2.312979957E-2
7.335678750E-1,-7.643103600E-3,-1.415157318E-2,9.362220764E-3,1.861008420E-2
7.385883960E-1,-1.244175434E-2,-1.875650883E-2,-2.269744873E-4,2.250900691E-2
7.436089160E-1,-1.725769043E-2,-1.858597994E-2,4.503250122E-3,2.575938258E-2
7.486294370E-1,1.660346985E-3,-1.366269588E-2,1.393699646E-2,1.958739087E-2
7.536499580E-1,1.529693604E-3,-1.827740669E-2,1.380634308E-2,2.295688714E-2
7.586704790E-1,1.402974129E-3,-1.340252161E-2,2.792549133E-2,3.100691839E-2
7.636910000E-1,1.274466515E-3,-8.625566959E-3,3.243255615E-2,3.358415354E-2
7.687115210E-1,-8.350014687E-3,-1.338541508E-2,1.790809631E-2,2.386612653E-2
7.737320410E-1,-8.348464966E-3,-8.665800095E-3,1.775932312E-2,2.145195833E-2
7.787525620E-1,-8.398532867E-3,-1.353406906E-2,2.710533142E-2,3.143891492E-2
7.837730830E-1,-1.794230938E-2,-3.260159492E-2,1.737976074E-2,4.107123739E-2
7.887936040E-1,-2.735507488E-2,-1.827073097E-2,1.723766327E-2,3.713834632E-2
7.938141250E-1,-1.289820671E-2,-1.356196404E-2,2.857208252E-3,1.893288789E-2
7.988346460E-1,-1.280164719E-2,-1.373267174E-2,-6.649017334E-3,1.991677372E-2
8.038551660E-1,-8.063316345E-3,3.893971443E-4,-1.134204865E-2,1.392159359E-2
8.088756870E-1,-1.755821705E-2,-1.874262094E-2,-1.750946045E-3,2.574184605E-2
8.138962080E-1,-7.979989052E-3,-1.866966486E-2,3.008842468E-3,2.052534395E-2
8.189167290E-1,-2.222132683E-2,-1.389461756E-2,-6.513595581E-3,2.700508638E-2
8.239372500E-1,-1.260423660E-2,-1.375889778E-2,7.777214050E-3,2.021531862E-2
8.289577710E-1,-3.118991852E-3,-1.367592812E-2,7.700920105E-3,1.600197770E-2
8.339782910E-1,-7.958292961E-3,-1.834213734E-2,1.237392426E-2,2.351345212E-2
8.389988120E-1,-1.750862598E-2,-8.729636669E-3,2.650451660E-2,3.294310156E-2
8.440193330E-1,-1.273393631E-2,-3.997266293E-3,3.102397919E-2,3.377304482E-2
8.490398540E-1,-7.941722870E-3,-3.938317299E-3,2.600860596E-2,2.747778901E-2
8.540603750E-1,-7.992506027E-3,-1.343417168E-2,6.786346436E-3,1.704146764E-2
8.590808960E-1,-1.273679733E-2,-2.779990435E-2,1.148414612E-2,3.266414395E-2
8.641014160E-1,-1.744437218E-2,-2.300608158E-2,-2.854347229E-3,2.901263877E-2
8.691219370E-1,-3.170490265E-3,-1.345211267E-2,1.912117004E-3,1.395233082E-2
8.741424580E-1,6.233334541E-3,-8.835077286E-3,1.895904541E-3,1.097759100E-2
8.791629790E-1,-3.383755684E-3,-8.901894093E-3,1.137733459E-2,1.483702340E-2
