 (0.230000+0.000000j), (-0.004893-0.000000j), (-0.035612-0.000000j), (-26.429261-0.000000j)
 (0.231250+0.000000j), (-0.004889-0.000000j), (-0.035599-0.000000j), (-26.422859-0.000000j)
 (0.232500+0.000000j), (-0.004886-0.000000j), (-0.035586+0.000000j), (-26.416457+0.000000j)
 (0.233750+0.000000j), (-0.004882-0.000000j), (-0.035573-0.000000j), (-26.410054-0.000000j)
 (0.235000+0.000000j), (-0.004878-0.000000j), (-0.035560-0.000000j), (-26.403650-0.000000j)
 (0.236250+0.000000j), (-0.004874-0.000000j), (-0.035547-0.000000j), (-26.397245+0.000000j)
 (0.237500+0.000000j), (-0.004871-0.000000j), (-0.035534+0.000000j), (-26.390839+0.000000j)
 (0.238750+0.000000j), (-0.004867-0.000000j), (-0.035521+0.000000j), (-26.384431+0.000000j)
 (0.240000+0.000000j), (-0.004864-0.000000j), (-0.035508+0.000000j), (-26.378022-0.000000j)
 (0.241250+0.000000j), (-0.004860-0.000000j), (-0.035496-0.000000j), (-26.371610+0.000000j)
 (0.242500+0.000000j), (-0.004857-0.000000j), (-0.035483-0.000000j), (-26.365196+0.000000j)
 (0.243750+0.000000j), (-0.004853-0.000000j), (-0.035471-0.000000j), (-26.358780+0.000000j)
 (0.245000+0.000000j), (-0.004850+0.000000j), (-0.035458-0.000000j), (-26.352362+0.000000j)
 (0.246250+0.000000j), (-0.004846-0.000000j), (-0.035446-0.000000j), (-26.345940+0.000000j)
 (0.247500+0.000000j), (-0.004843-0.000000j), (-0.035434+0.000000j), (-26.339516+0.000000j)
 (0.248750+0.000000j), (-0.004840-0.000000j), (-0.035421+0.000000j), (-26.333090+0.000000j)
 (0.250000+0.000000j), (-0.004836-0.000000j), (-0.035409+0.000000j), (-26.326662+0.000000j)
 (0.251250+0.000000j), (-0.004833-0.000000j), (-0.035397-0.000000j), (-26.320232-0.000000j)
 (0.252500+0.000000j), (-0.004830-0.000000j), (-0.035384-0.000000j), (-26.313801-0.000000j)
 (0.253750+0.000000j), (-0.004826-0.000000j), (-0.035372-0.000000j), (-26.307368-0.000000j)
 (0.255000+0.000000j), (-0.004823-0.000000j), (-0.035359-0.000000j), (-26.300934+0.000000j)
 (0.256250+0.000000j), (-0.004820-0.000000j), (-0.035347-0.000000j), (-26.294499-0.000000j)
 (0.257500+0.000000j), (-0.004816-0.000000j), (-0.035334-0.000000j), (-26.288066-0.000000j)
 (0.258750+0.000000j), (-0.004813-0.000000j), (-0.035321-0.000000j), (-26.281634-0.000000j)
 (0.260000+0.000000j), (-0.004810-0.000000j), (-0.035309-0.000000j), (-26.275204-0.000000j)
 (0.261250+0.000000j), (-0.004806-0.000000j), (-0.035296-0.000000j), (-26.268778+0.000000j)
 (0.262500+0.000000j), (-0.004803-0.000000j), (-0.035284+0.000000j), (-26.262354+0.000000j)
 (0.263750+0.000000j), (-0.004800-0.000000j), (-0.035272-0.000000j), (-26.255933+0.000000j)
 (0.265000+0.000000j), (-0.004796-0.000000j), (-0.035259-0.000000j), (-26.249516-0.000000j)
 (0.266250+0.000000j), (-0.004793-0.000000j), (-0.035246-0.000000j), (-26.243103-0.000000j)
 (0.267500+0.000000j), (-0.004790-0.000000j), (-0.035234-0.000000j), (-26.236694-0.000000j)
 (0.268750+0.000000j), (-0.004786-0.000000j), (-0.035221-0.000000j), (-26.230290-0.000000j)
 (0.270000+0.000000j), (-0.004783-0.000000j), (-0.035209-0.000000j), (-26.223891-0.000000j)
 (0.271250+0.000000j), (-0.004779-0.000000j), (-0.035196-0.000000j), (-26.217497-0.000000j)
 (0.272500+0.000000j), (-0.004776-0.000000j), (-0.035183-0.000000j), (-26.211108-0.000000j)
 (0.273750+0.000000j), (-0.004772-0.000000j), (-0.035171+0.000000j), (-26.204722+0.000000j)
 (0.275000+0.000000j), (-0.004769-0.000000j), (-0.035159-0.000000j), (-26.198341-0.000000j)
 (0.276250+0.000000j), (-0.004765-0.000000j), (-0.035146-0.000000j), (-26.191963+0.000000j)
 (0.277500+0.000000j), (-0.004762-0.000000j), (-0.035134+0.000000j), (-26.185589+0.000000j)
 (0.278750+0.000000j), (-0.004758-0.000000j), (-0.035122+0.000000j), (-26.179219-0.000000j)
 (0.280000+0.000000j), (-0.004755-0.000000j), (-0.035110-0.000000j), (-26.172851-0.000000j)
 (0.281250+0.000000j), (-0.004752-0.000000j), (-0.035099-0.000000j), (-26.166486+0.000000j)
 (0.282500+0.000000j), (-0.004748-0.000000j), (-0.035087-0.000000j), (-26.160123-0.000000j)
 (0.283750+0.000000j), (-0.004745-0.000000j), (-0.035075-0.000000j), (-26.153763+0.000000j)
 (0.285000+0.000000j), (-0.004741-0.000000j), (-0.035063+0.000000j), (-26.147405-0.000000j)
 (0.286250+0.000000j), (-0.004738-0.000000j), (-0.035051+0.000000j), (-26.141049+0.000000j)
 (0.287500+0.000000j), (-0.004734-0.000000j), (-0.035039-0.000000j), (-26.134695+0.000000j)
 (0.288750+0.000000j), (-0.004731-0.000000j), (-0.035028-0.000000j), (-26.128343+0.000000j)
 (0.290000+0.000000j), (-0.004727-0.000000j), (-0.035016-0.000000j), (-26.121994-0.000000j)
 (0.291250+0.000000j), (-0.004724-0.000000j), (-0.035004-0.000000j), (-26.115646+0.000000j)
 (0.292500+0.000000j), (-0.004720+0.000000j), (-0.034992-0.000000j), (-26.109300-0.000000j)
 (0.293750+0.000000j), (-0.004717-0.000000j), (-0.034981-0.000000j), (-26.102956+0.000000j)
 (0.295000+0.000000j), (-0.004714-0.000000j), (-0.034969-0.000000j), (-26.096615+0.000000j)
 (0.296250+0.000000j), (-0.004710-0.000000j), (-0.034957-0.000000j), (-26.090275-0.000000j)
 (0.297500+0.000000j), (-0.004707-0.000000j), (-0.034945-0.000000j), (-26.083938-0.000000j)
 (0.298750+0.000000j), (-0.004703-0.000000j), (-0.034933-0.000000j), (-26.077603+0.000000j)
 (0.300000+0.000000j), (-0.004699-0.000000j), (-0.034922+0.000000j), (-26.071270+0.000000j)
 (0.301250+0.000000j), (-0.004695-0.000000j), (-0.034910-0.000000j), (-26.064938+0.000000j)
 (0.302500+0.000000j), (-0.004692-0.000000j), (-0.034898-0.000000j), (-26.058609+0.000000j)
 (0.303750+0.000000j), (-0.004688-0.000000j), (-0.034887-0.000000j), (-26.052280+0.000000j)
 (0.305000+0.000000j), (-0.004684-0.000000j), (-0.034875+0.000000j), (-26.045954+0.000000j)
 (0.306250+0.000000j), (-0.004680-0.000000j), (-0.034863+0.000000j), (-26.039628+0.000000j)
 (0.307500+0.000000j), (-0.004676-0.000000j), (-0.034851+0.000000j), (-26.033303+0.000000j)
 (0.308750+0.000000j), (-0.004672-0.000000j), (-0.034839-0.000000j), (-26.026978+0.000000j)
 (0.310000+0.000000j), (-0.004668-0.000000j), (-0.034827-0.000000j), (-26.020654-0.000000j)
 (0.311250+0.000000j), (-0.004664-0.000000j), (-0.034815-0.000000j), (-26.014331+0.000000j)
 (0.312500+0.000000j), (-0.004660-0.000000j), (-0.034803-0.000000j), (-26.008010-0.000000j)
 (0.313750+0.000000j), (-0.004657-0.000000j), (-0.034791-0.000000j), (-26.001690+0.000000j)
 (0.315000+0.000000j), (-0.004653-0.000000j), (-0.034779+0.000000j), (-25.995370+0.000000j)
 (0.316250+0.000000j), (-0.004649-0.000000j), (-0.034767-0.000000j), (-25.989051-0.000000j)
 (0.317500+0.000000j), (-0.004645-0.000000j), (-0.034755+0.000000j), (-25.982733+0.000000j)
 (0.318750+0.000000j), (-0.004641-0.000000j), (-0.034743-0.000000j), (-25.976413-0.000000j)
 (0.320000+0.000000j), (-0.004637-0.000000j), (-0.034731-0.000000j), (-25.970093+0.000000j)
 (0.321250+0.000000j), (-0.004634-0.000000j), (-0.034719-0.000000j), (-25.963773-0.000000j)
 (0.322500+0.000000j), (-0.004630-0.000000j), (-0.034707+0.000000j), (-25.957452+0.000000j)
 (0.323750+0.000000j), (-0.004626-0.000000j), (-0.034695+0.000000j), (-25.951129+0.000000j)
 (0.325000+0.000000j), (-0.004622-0.000000j), (-0.034683+0.000000j), (-25.944804+0.000000j)
 (0.326250+0.000000j), (-0.004618-0.000000j), (-0.034671+0.000000j), (-25.938478+0.000000j)
 (0.327500+0.000000j), (-0.004614-0.000000j), (-0.034659-0.000000j), (-25.932149-0.000000j)
 (0.328750+0.000000j), (-0.004611-0.000000j), (-0.034647+0.000000j), (-25.925818+0.000000j)
 (0.330000+0.000000j), (-0.004607-0.000000j), (-0.034636+0.000000j), (-25.919485+0.000000j)
 (0.331250+0.000000j), (-0.004603-0.000000j), (-0.034624-0.000000j), (-25.913149+0.000000j)
