 (10.535000+0.000000j), (0.029671-0.000000j), (0.001653+0.000000j), (-5.927943-0.000000j)
 (10.536200+0.000000j), (0.029641-0.000000j), (0.001760+0.000000j), (-5.921339-0.000000j)
 (10.537500+0.000000j), (0.029609-0.000000j), (0.001870+0.000000j), (-5.914633-0.000000j)
 (10.538700+0.000000j), (0.029577-0.000000j), (0.001983+0.000000j), (-5.907830-0.000000j)
 (10.540000+0.000000j), (0.029545-0.000000j), (0.002099+0.000000j), (-5.900938-0.000000j)
 (10.541200+0.000000j), (0.029511-0.000000j), (0.002218+0.000000j), (-5.893960-0.000000j)
 (10.542500+0.000000j), (0.029476-0.000000j), (0.002341+0.000000j), (-5.886903-0.000000j)
 (10.543700+0.000000j), (0.029440-0.000000j), (0.002467-0.000000j), (-5.879772-0.000000j)
 (10.545000+0.000000j), (0.029402-0.000000j), (0.002596+0.000000j), (-5.872572-0.000000j)
 (10.546200+0.000000j), (0.029363-0.000000j), (0.002728+0.000000j), (-5.865308-0.000000j)
 (10.547500+0.000000j), (0.029322-0.000000j), (0.002864-0.000000j), (-5.857985-0.000000j)
 (10.548700+0.000000j), (0.029279-0.000000j), (0.003002-0.000000j), (-5.850607-0.000000j)
 (10.550000+0.000000j), (0.029234-0.000000j), (0.003143+0.000000j), (-5.843180-0.000000j)
 (10.551200+0.000000j), (0.029186-0.000000j), (0.003287+0.000000j), (-5.835708-0.000000j)
 (10.552500+0.000000j), (0.029136-0.000000j), (0.003433+0.000000j), (-5.828193-0.000000j)
 (10.553700+0.000000j), (0.029084-0.000000j), (0.003581+0.000000j), (-5.820638-0.000000j)
 (10.555000+0.000000j), (0.029028-0.000000j), (0.003731-0.000000j), (-5.813043-0.000000j)
 (10.556200+0.000000j), (0.028970-0.000000j), (0.003883+0.000000j), (-5.805406+0.000000j)
 (10.557500+0.000000j), (0.028908-0.000000j), (0.004037+0.000000j), (-5.797722-0.000000j)
 (10.558700+0.000000j), (0.028844-0.000000j), (0.004192+0.000000j), (-5.789985-0.000000j)
 (10.560000+0.000000j), (0.028777-0.000000j), (0.004347+0.000000j), (-5.782191-0.000000j)
 (10.561200+0.000000j), (0.028706-0.000000j), (0.004504+0.000000j), (-5.774330-0.000000j)
 (10.562500+0.000000j), (0.028634-0.000000j), (0.004662+0.000000j), (-5.766396-0.000000j)
 (10.563700+0.000000j), (0.028559-0.000000j), (0.004819+0.000000j), (-5.758384+0.000000j)
 (10.565000+0.000000j), (0.028483-0.000000j), (0.004977+0.000000j), (-5.750291-0.000000j)
 (10.566200+0.000000j), (0.028406-0.000000j), (0.005134+0.000000j), (-5.742116-0.000000j)
 (10.567500+0.000000j), (0.028328-0.000000j), (0.005291+0.000000j), (-5.733861-0.000000j)
 (10.568700+0.000000j), (0.028251-0.000000j), (0.005446+0.000000j), (-5.725530-0.000000j)
 (10.570000+0.000000j), (0.028173-0.000000j), (0.005601+0.000000j), (-5.717130-0.000000j)
 (10.571200+0.000000j), (0.028097-0.000000j), (0.005755+0.000000j), (-5.708668+0.000000j)
 (10.572500+0.000000j), (0.028021-0.000000j), (0.005907+0.000000j), (-5.700149-0.000000j)
 (10.573700+0.000000j), (0.027946-0.000000j), (0.006058+0.000000j), (-5.691579-0.000000j)
 (10.575000+0.000000j), (0.027872-0.000000j), (0.006207+0.000000j), (-5.682963-0.000000j)
 (10.576200+0.000000j), (0.027800-0.000000j), (0.006356+0.000000j), (-5.674303-0.000000j)
 (10.577500+0.000000j), (0.027728-0.000000j), (0.006503+0.000000j), (-5.665600-0.000000j)
 (10.578700+0.000000j), (0.027658-0.000000j), (0.006648-0.000000j), (-5.656854-0.000000j)
 (10.580000+0.000000j), (0.027588-0.000000j), (0.006792+0.000000j), (-5.648063-0.000000j)
 (10.581200+0.000000j), (0.027520-0.000000j), (0.006934+0.000000j), (-5.639225-0.000000j)
 (10.582500+0.000000j), (0.027452-0.000000j), (0.007074+0.000000j), (-5.630337-0.000000j)
 (10.583700+0.000000j), (0.027385-0.000000j), (0.007212+0.000000j), (-5.621397-0.000000j)
 (10.585000+0.000000j), (0.027319-0.000000j), (0.007349+0.000000j), (-5.612403-0.000000j)
 (10.586200+0.000000j), (0.027254-0.000000j), (0.007483+0.000000j), (-5.603356-0.000000j)
 (10.587500+0.000000j), (0.027189-0.000000j), (0.007615+0.000000j), (-5.594255-0.000000j)
 (10.588700+0.000000j), (0.027125-0.000000j), (0.007745+0.000000j), (-5.585102-0.000000j)
 (10.590000+0.000000j), (0.027063-0.000000j), (0.007873+0.000000j), (-5.575899-0.000000j)
 (10.591200+0.000000j), (0.027001-0.000000j), (0.007999+0.000000j), (-5.566651-0.000000j)
 (10.592500+0.000000j), (0.026939-0.000000j), (0.008123+0.000000j), (-5.557363-0.000000j)
 (10.593700+0.000000j), (0.026878-0.000000j), (0.008245+0.000000j), (-5.548039-0.000000j)
 (10.595000+0.000000j), (0.026817-0.000000j), (0.008366+0.000000j), (-5.538686-0.000000j)
 (10.596200+0.000000j), (0.026755-0.000000j), (0.008486+0.000000j), (-5.529310-0.000000j)
 (10.597500+0.000000j), (0.026693-0.000000j), (0.008605+0.000000j), (-5.519916-0.000000j)
 (10.598700+0.000000j), (0.026629-0.000000j), (0.008723+0.000000j), (-5.510512-0.000000j)
 (10.600000+0.000000j), (0.026564-0.000000j), (0.008840+0.000000j), (-5.501100+0.000000j)
 (10.601200+0.000000j), (0.026497-0.000000j), (0.008957+0.000000j), (-5.491684-0.000000j)
 (10.602500+0.000000j), (0.026428-0.000000j), (0.009073+0.000000j), (-5.482265+0.000000j)
 (10.603700+0.000000j), (0.026358-0.000000j), (0.009190+0.000000j), (-5.472845-0.000000j)
 (10.605000+0.000000j), (0.026285-0.000000j), (0.009306-0.000000j), (-5.463422-0.000000j)
 (10.606200+0.000000j), (0.026210-0.000000j), (0.009422+0.000000j), (-5.453997-0.000000j)
 (10.607500+0.000000j), (0.026132-0.000000j), (0.009538+0.000000j), (-5.444566-0.000000j)
 (10.608700+0.000000j), (0.026053-0.000000j), (0.009654+0.000000j), (-5.435128-0.000000j)
 (10.610000+0.000000j), (0.025972-0.000000j), (0.009769+0.000000j), (-5.425681-0.000000j)
 (10.611200+0.000000j), (0.025890-0.000000j), (0.009884+0.000000j), (-5.416221-0.000000j)
 (10.612500+0.000000j), (0.025805-0.000000j), (0.009997+0.000000j), (-5.406745-0.000000j)
 (10.613700+0.000000j), (0.025720-0.000000j), (0.010109+0.000000j), (-5.397250-0.000000j)
 (10.615000+0.000000j), (0.025632-0.000000j), (0.010220+0.000000j), (-5.387734-0.000000j)
 (10.616200+0.000000j), (0.025544-0.000000j), (0.010328+0.000000j), (-5.378194-0.000000j)
 (10.617500+0.000000j), (0.025454-0.000000j), (0.010434+0.000000j), (-5.368626-0.000000j)
 (10.618700+0.000000j), (0.025364-0.000000j), (0.010538+0.000000j), (-5.359027-0.000000j)
 (10.620000+0.000000j), (0.025273-0.000000j), (0.010640+0.000000j), (-5.349397-0.000000j)
 (10.621200+0.000000j), (0.025181-0.000000j), (0.010739+0.000000j), (-5.339731-0.000000j)
 (10.622500+0.000000j), (0.025088-0.000000j), (0.010835+0.000000j), (-5.330026-0.000000j)
 (10.623700+0.000000j), (0.024994-0.000000j), (0.010928+0.000000j), (-5.320278-0.000000j)
 (10.625000+0.000000j), (0.024899-0.000000j), (0.011019+0.000000j), (-5.310482-0.000000j)
 (10.626200+0.000000j), (0.024804-0.000000j), (0.011107+0.000000j), (-5.300632+0.000000j)
 (10.627500+0.000000j), (0.024708-0.000000j), (0.011193-0.000000j), (-5.290724-0.000000j)
 (10.628700+0.000000j), (0.024611-0.000000j), (0.011277+0.000000j), (-5.280753+0.000000j)
 (10.630000+0.000000j), (0.024514-0.000000j), (0.011359-0.000000j), (-5.270715-0.000000j)
 (10.631200+0.000000j), (0.024417-0.000000j), (0.011439+0.000000j), (-5.260611+0.000000j)
 (10.632500+0.000000j), (0.024319-0.000000j), (0.011518+0.000000j), (-5.250443-0.000000j)
 (10.633700+0.000000j), (0.024222-0.000000j), (0.011596+0.000000j), (-5.240216-0.000000j)
 (10.635000+0.000000j), (0.024125-0.000000j), (0.011674+0.000000j), (-5.229934-0.000000j)
 (10.636200+0.000000j), (0.024028-0.000000j), (0.011750+0.000000j), (-5.219607-0.000000j)
 (10.637500+0.000000j), (0.023932-0.000000j), (0.011827+0.000000j), (-5.209239-0.000000j)
 (10.638700+0.000000j), (0.023836-0.000000j), (0.011904+0.000000j), (-5.198836-0.000000j)
 (10.640000+0.000000j), (0.023741-0.000000j), (0.011981+0.000000j), (-5.188400-0.000000j)
 (10.641200+0.000000j), (0.023645-0.000000j), (0.012060+0.000000j), (-5.177933-0.000000j)
 (10.642500+0.000000j), (0.023550-0.000000j), (0.012140+0.000000j), (-5.167435-0.000000j)
 (10.643700+0.000000j), (0.023453-0.000000j), (0.012223-0.000000j), (-5.156906-0.000000j)
 (10.645000+0.000000j), (0.023356-0.000000j), (0.012309+0.000000j), (-5.146351-0.000000j)
 (10.646200+0.000000j), (0.023258-0.000000j), (0.012398+0.000000j), (-5.135779-0.000000j)
 (10.647500+0.000000j), (0.023158-0.000000j), (0.012489+0.000000j), (-5.125199-0.000000j)
 (10.648700+0.000000j), (0.023058-0.000000j), (0.012584-0.000000j), (-5.114625-0.000000j)
 (10.650000+0.000000j), (0.022957-0.000000j), (0.012680-0.000000j), (-5.104065-0.000000j)
 (10.651200+0.000000j), (0.022855-0.000000j), (0.012779+0.000000j), (-5.093525-0.000000j)
 (10.652500+0.000000j), (0.022753-0.000000j), (0.012878+0.000000j), (-5.083003-0.000000j)
 (10.653700+0.000000j), (0.022650-0.000000j), (0.012978+0.000000j), (-5.072492-0.000000j)
 (10.655000+0.000000j), (0.022548-0.000000j), (0.013079+0.000000j), (-5.061985-0.000000j)
 (10.656200+0.000000j), (0.022445-0.000000j), (0.013180-0.000000j), (-5.051468-0.000000j)
 (10.657500+0.000000j), (0.022341-0.000000j), (0.013280+0.000000j), (-5.040930-0.000000j)
 (10.658700+0.000000j), (0.022238-0.000000j), (0.013379-0.000000j), (-5.030362-0.000000j)
 (10.660000+0.000000j), (0.022134-0.000000j), (0.013477+0.000000j), (-5.019753-0.000000j)
 (10.661200+0.000000j), (0.022030-0.000000j), (0.013573+0.000000j), (-5.009098-0.000000j)
 (10.662500+0.000000j), (0.021925-0.000000j), (0.013667-0.000000j), (-4.998394-0.000000j)
 (10.663700+0.000000j), (0.021821-0.000000j), (0.013758-0.000000j), (-4.987638-0.000000j)
 (10.665000+0.000000j), (0.021716-0.000000j), (0.013845+0.000000j), (-4.976832-0.000000j)
 (10.666200+0.000000j), (0.021611-0.000000j), (0.013929+0.000000j), (-4.965974-0.000000j)
 (10.667500+0.000000j), (0.021505-0.000000j), (0.014010+0.000000j), (-4.955067+0.000000j)
 (10.668700+0.000000j), (0.021400-0.000000j), (0.014087+0.000000j), (-4.944110-0.000000j)
 (10.670000+0.000000j), (0.021295-0.000000j), (0.014159+0.000000j), (-4.933104-0.000000j)
 (10.671200+0.000000j), (0.021189-0.000000j), (0.014228+0.000000j), (-4.922050-0.000000j)
 (10.672500+0.000000j), (0.021084-0.000000j), (0.014293+0.000000j), (-4.910950+0.000000j)
 (10.673700+0.000000j), (0.020980-0.000000j), (0.014354+0.000000j), (-4.899804-0.000000j)
 (10.675000+0.000000j), (0.020876-0.000000j), (0.014411+0.000000j), (-4.888616-0.000000j)
 (10.676200+0.000000j), (0.020774-0.000000j), (0.014463+0.000000j), (-4.877387-0.000000j)
 (10.677500+0.000000j), (0.020672-0.000000j), (0.014511+0.000000j), (-4.866122-0.000000j)
 (10.678700+0.000000j), (0.020572-0.000000j), (0.014554+0.000000j), (-4.854823+0.000000j)
 (10.680000+0.000000j), (0.020473-0.000000j), (0.014594+0.000000j), (-4.843496-0.000000j)
 (10.681200+0.000000j), (0.020375-0.000000j), (0.014629+0.000000j), (-4.832146-0.000000j)
 (10.682500+0.000000j), (0.020279-0.000000j), (0.014660-0.000000j), (-4.820781-0.000000j)
 (10.683700+0.000000j), (0.020184-0.000000j), (0.014688+0.000000j), (-4.809408+0.000000j)
 (10.685000+0.000000j), (0.020090-0.000000j), (0.014712+0.000000j), (-4.798037+0.000000j)
 (10.686200+0.000000j), (0.019997-0.000000j), (0.014732-0.000000j), (-4.786679-0.000000j)
 (10.687500+0.000000j), (0.019906-0.000000j), (0.014748+0.000000j), (-4.775345-0.000000j)
 (10.688700+0.000000j), (0.019816-0.000000j), (0.014762-0.000000j), (-4.764047-0.000000j)
 (10.690000+0.000000j), (0.019726-0.000000j), (0.014772+0.000000j), (-4.752795-0.000000j)
 (10.691200+0.000000j), (0.019638-0.000000j), (0.014780+0.000000j), (-4.741599+0.000000j)
 (10.692500+0.000000j), (0.019551-0.000000j), (0.014785+0.000000j), (-4.730468-0.000000j)
 (10.693700+0.000000j), (0.019467-0.000000j), (0.014788+0.000000j), (-4.719408+0.000000j)
 (10.695000+0.000000j), (0.019384-0.000000j), (0.014788+0.000000j), (-4.708421-0.000000j)
 (10.696200+0.000000j), (0.019304-0.000000j), (0.014787+0.000000j), (-4.697506-0.000000j)
 (10.697500+0.000000j), (0.019226-0.000000j), (0.014784+0.000000j), (-4.686660-0.000000j)
 (10.698700+0.000000j), (0.019152-0.000000j), (0.014780+0.000000j), (-4.675877+0.000000j)
 (10.700000+0.000000j), (0.019079-0.000000j), (0.014775+0.000000j), (-4.665148-0.000000j)
 (10.701200+0.000000j), (0.019010-0.000000j), (0.014769+0.000000j), (-4.654468-0.000000j)
 (10.702500+0.000000j), (0.018942-0.000000j), (0.014763+0.000000j), (-4.643828-0.000000j)
 (10.703700+0.000000j), (0.018876-0.000000j), (0.014757+0.000000j), (-4.633226-0.000000j)
 (10.705000+0.000000j), (0.018812-0.000000j), (0.014751+0.000000j), (-4.622657-0.000000j)
 (10.706200+0.000000j), (0.018750-0.000000j), (0.014746+0.000000j), (-4.612121-0.000000j)
 (10.707500+0.000000j), (0.018688-0.000000j), (0.014741+0.000000j), (-4.601615-0.000000j)
 (10.708700+0.000000j), (0.018628-0.000000j), (0.014738+0.000000j), (-4.591142-0.000000j)
 (10.710000+0.000000j), (0.018568-0.000000j), (0.014735+0.000000j), (-4.580701-0.000000j)
 (10.711200+0.000000j), (0.018509-0.000000j), (0.014734+0.000000j), (-4.570296-0.000000j)
 (10.712500+0.000000j), (0.018450-0.000000j), (0.014734+0.000000j), (-4.559926-0.000000j)
 (10.713700+0.000000j), (0.018391-0.000000j), (0.014734+0.000000j), (-4.549595-0.000000j)
 (10.715000+0.000000j), (0.018331-0.000000j), (0.014736+0.000000j), (-4.539306-0.000000j)
 (10.716200+0.000000j), (0.018271-0.000000j), (0.014738+0.000000j), (-4.529059+0.000000j)
 (10.717500+0.000000j), (0.018210-0.000000j), (0.014742-0.000000j), (-4.518859-0.000000j)
 (10.718700+0.000000j), (0.018149-0.000000j), (0.014745+0.000000j), (-4.508709-0.000000j)
 (10.720000+0.000000j), (0.018085-0.000000j), (0.014749+0.000000j), (-4.498610-0.000000j)
 (10.721200+0.000000j), (0.018021-0.000000j), (0.014754+0.000000j), (-4.488567-0.000000j)
 (10.722500+0.000000j), (0.017954-0.000000j), (0.014758+0.000000j), (-4.478582-0.000000j)
 (10.723700+0.000000j), (0.017887-0.000000j), (0.014761+0.000000j), (-4.468659-0.000000j)
 (10.725000+0.000000j), (0.017817-0.000000j), (0.014764+0.000000j), (-4.458799-0.000000j)
 (10.726200+0.000000j), (0.017747-0.000000j), (0.014766+0.000000j), (-4.449004-0.000000j)
 (10.727500+0.000000j), (0.017675-0.000000j), (0.014766+0.000000j), (-4.439279-0.000000j)
 (10.728700+0.000000j), (0.017602-0.000000j), (0.014764+0.000000j), (-4.429624-0.000000j)
 (10.730000+0.000000j), (0.017529-0.000000j), (0.014761+0.000000j), (-4.420044-0.000000j)
 (10.731200+0.000000j), (0.017454-0.000000j), (0.014754+0.000000j), (-4.410542+0.000000j)
 (10.732500+0.000000j), (0.017379-0.000000j), (0.014746+0.000000j), (-4.401124+0.000000j)
 (10.733700+0.000000j), (0.017304-0.000000j), (0.014734+0.000000j), (-4.391793-0.000000j)
 (10.735000+0.000000j), (0.017228-0.000000j), (0.014719+0.000000j), (-4.382557-0.000000j)
 (10.736200+0.000000j), (0.017152-0.000000j), (0.014701+0.000000j), (-4.373420-0.000000j)
 (10.737500+0.000000j), (0.017076-0.000000j), (0.014680+0.000000j), (-4.364388-0.000000j)
 (10.738700+0.000000j), (0.017000-0.000000j), (0.014656-0.000000j), (-4.355468-0.000000j)
 (10.740000+0.000000j), (0.016924-0.000000j), (0.014628+0.000000j), (-4.346666+0.000000j)
 (10.741200+0.000000j), (0.016849-0.000000j), (0.014598+0.000000j), (-4.337987-0.000000j)
 (10.742500+0.000000j), (0.016774-0.000000j), (0.014564+0.000000j), (-4.329437-0.000000j)
 (10.743700+0.000000j), (0.016699-0.000000j), (0.014527-0.000000j), (-4.321022-0.000000j)
 (10.745000+0.000000j), (0.016625-0.000000j), (0.014488-0.000000j), (-4.312746-0.000000j)
 (10.746200+0.000000j), (0.016553-0.000000j), (0.014445+0.000000j), (-4.304615-0.000000j)
 (10.747500+0.000000j), (0.016480-0.000000j), (0.014399+0.000000j), (-4.296634-0.000000j)
 (10.748700+0.000000j), (0.016409-0.000000j), (0.014351+0.000000j), (-4.288806-0.000000j)
 (10.750000+0.000000j), (0.016339-0.000000j), (0.014300+0.000000j), (-4.281136-0.000000j)
 (10.751200+0.000000j), (0.016270-0.000000j), (0.014246+0.000000j), (-4.273626+0.000000j)
 (10.752500+0.000000j), (0.016203-0.000000j), (0.014189+0.000000j), (-4.266278-0.000000j)
 (10.753700+0.000000j), (0.016137-0.000000j), (0.014129+0.000000j), (-4.259095-0.000000j)
 (10.755000+0.000000j), (0.016072-0.000000j), (0.014067+0.000000j), (-4.252075-0.000000j)
 (10.756200+0.000000j), (0.016010-0.000000j), (0.014003+0.000000j), (-4.245219-0.000000j)
 (10.757500+0.000000j), (0.015950-0.000000j), (0.013936+0.000000j), (-4.238525-0.000000j)
 (10.758700+0.000000j), (0.015891-0.000000j), (0.013868+0.000000j), (-4.231993-0.000000j)
 (10.760000+0.000000j), (0.015835-0.000000j), (0.013797-0.000000j), (-4.225619-0.000000j)
 (10.761200+0.000000j), (0.015782-0.000000j), (0.013725+0.000000j), (-4.219402-0.000000j)
 (10.762500+0.000000j), (0.015730-0.000000j), (0.013651+0.000000j), (-4.213342-0.000000j)
 (10.763700+0.000000j), (0.015679-0.000000j), (0.013576+0.000000j), (-4.207436-0.000000j)
 (10.765000+0.000000j), (0.015631-0.000000j), (0.013500+0.000000j), (-4.201685+0.000000j)
 (10.766200+0.000000j), (0.015583-0.000000j), (0.013423+0.000000j), (-4.196089-0.000000j)
 (10.767500+0.000000j), (0.015538-0.000000j), (0.013345+0.000000j), (-4.190647-0.000000j)
 (10.768700+0.000000j), (0.015493-0.000000j), (0.013267+0.000000j), (-4.185360-0.000000j)
 (10.770000+0.000000j), (0.015449-0.000000j), (0.013189+0.000000j), (-4.180228-0.000000j)
 (10.771200+0.000000j), (0.015407-0.000000j), (0.013110+0.000000j), (-4.175250-0.000000j)
 (10.772500+0.000000j), (0.015366-0.000000j), (0.013032+0.000000j), (-4.170423-0.000000j)
 (10.773700+0.000000j), (0.015327-0.000000j), (0.012953+0.000000j), (-4.165743-0.000000j)
 (10.775000+0.000000j), (0.015288-0.000000j), (0.012875+0.000000j), (-4.161207-0.000000j)
 (10.776200+0.000000j), (0.015251-0.000000j), (0.012797-0.000000j), (-4.156814-0.000000j)
 (10.777500+0.000000j), (0.015214-0.000000j), (0.012719-0.000000j), (-4.152558+0.000000j)
 (10.778700+0.000000j), (0.015179-0.000000j), (0.012641-0.000000j), (-4.148439-0.000000j)
 (10.780000+0.000000j), (0.015144-0.000000j), (0.012563+0.000000j), (-4.144453-0.000000j)
 (10.781200+0.000000j), (0.015110-0.000000j), (0.012485+0.000000j), (-4.140599-0.000000j)
 (10.782500+0.000000j), (0.015077-0.000000j), (0.012407+0.000000j), (-4.136873-0.000000j)
 (10.783700+0.000000j), (0.015044-0.000000j), (0.012329+0.000000j), (-4.133275+0.000000j)
 (10.785000+0.000000j), (0.015012-0.000000j), (0.012252-0.000000j), (-4.129800-0.000000j)
 (10.786200+0.000000j), (0.014980-0.000000j), (0.012174+0.000000j), (-4.126448-0.000000j)
 (10.787500+0.000000j), (0.014948-0.000000j), (0.012097+0.000000j), (-4.123216-0.000000j)
 (10.788700+0.000000j), (0.014916-0.000000j), (0.012020+0.000000j), (-4.120101-0.000000j)
 (10.790000+0.000000j), (0.014884-0.000000j), (0.011942+0.000000j), (-4.117103-0.000000j)
 (10.791200+0.000000j), (0.014852-0.000000j), (0.011865+0.000000j), (-4.114221-0.000000j)
 (10.792500+0.000000j), (0.014820-0.000000j), (0.011788+0.000000j), (-4.111456+0.000000j)
 (10.793700+0.000000j), (0.014786-0.000000j), (0.011711+0.000000j), (-4.108811-0.000000j)
 (10.795000+0.000000j), (0.014751-0.000000j), (0.011633+0.000000j), (-4.106289-0.000000j)
 (10.796200+0.000000j), (0.014715-0.000000j), (0.011556+0.000000j), (-4.103896-0.000000j)
 (10.797500+0.000000j), (0.014677-0.000000j), (0.011479+0.000000j), (-4.101639-0.000000j)
 (10.798700+0.000000j), (0.014636-0.000000j), (0.011403+0.000000j), (-4.099527-0.000000j)
 (10.800000+0.000000j), (0.014592-0.000000j), (0.011326+0.000000j), (-4.097564-0.000000j)
 (10.801200+0.000000j), (0.014546-0.000000j), (0.011250+0.000000j), (-4.095760-0.000000j)
 (10.802500+0.000000j), (0.014496-0.000000j), (0.011173+0.000000j), (-4.094119-0.000000j)
 (10.803700+0.000000j), (0.014444-0.000000j), (0.011096+0.000000j), (-4.092649+0.000000j)
 (10.805000+0.000000j), (0.014388-0.000000j), (0.011019+0.000000j), (-4.091354-0.000000j)
 (10.806200+0.000000j), (0.014329-0.000000j), (0.010941-0.000000j), (-4.090240-0.000000j)
 (10.807500+0.000000j), (0.014267-0.000000j), (0.010862+0.000000j), (-4.089309-0.000000j)
 (10.808700+0.000000j), (0.014203-0.000000j), (0.010783+0.000000j), (-4.088566-0.000000j)
 (10.810000+0.000000j), (0.014136-0.000000j), (0.010702+0.000000j), (-4.088015-0.000000j)
 (10.811200+0.000000j), (0.014067-0.000000j), (0.010619+0.000000j), (-4.087659-0.000000j)
 (10.812500+0.000000j), (0.013996-0.000000j), (0.010536+0.000000j), (-4.087501-0.000000j)
 (10.813700+0.000000j), (0.013923-0.000000j), (0.010451-0.000000j), (-4.087545-0.000000j)
 (10.815000+0.000000j), (0.013849-0.000000j), (0.010364+0.000000j), (-4.087794-0.000000j)
 (10.816200+0.000000j), (0.013775-0.000000j), (0.010275+0.000000j), (-4.088252-0.000000j)
 (10.817500+0.000000j), (0.013699-0.000000j), (0.010185+0.000000j), (-4.088922-0.000000j)
 (10.818700+0.000000j), (0.013624-0.000000j), (0.010092-0.000000j), (-4.089808-0.000000j)
 (10.820000+0.000000j), (0.013549-0.000000j), (0.009998+0.000000j), (-4.090912+0.000000j)
 (10.821200+0.000000j), (0.013474-0.000000j), (0.009902+0.000000j), (-4.092237-0.000000j)
 (10.822500+0.000000j), (0.013400-0.000000j), (0.009804+0.000000j), (-4.093788-0.000000j)
 (10.823700+0.000000j), (0.013327-0.000000j), (0.009704+0.000000j), (-4.095565-0.000000j)
 (10.825000+0.000000j), (0.013256-0.000000j), (0.009601+0.000000j), (-4.097572-0.000000j)
 (10.826200+0.000000j), (0.013185-0.000000j), (0.009497+0.000000j), (-4.099812-0.000000j)
 (10.827500+0.000000j), (0.013117-0.000000j), (0.009391+0.000000j), (-4.102288-0.000000j)
 (10.828700+0.000000j), (0.013049-0.000000j), (0.009282+0.000000j), (-4.105001+0.000000j)
 (10.830000+0.000000j), (0.012984-0.000000j), (0.009172+0.000000j), (-4.107953-0.000000j)
 (10.831200+0.000000j), (0.012920-0.000000j), (0.009060+0.000000j), (-4.111146-0.000000j)
 (10.832500+0.000000j), (0.012859-0.000000j), (0.008946+0.000000j), (-4.114578-0.000000j)
 (10.833700+0.000000j), (0.012800-0.000000j), (0.008830+0.000000j), (-4.118250+0.000000j)
 (10.835000+0.000000j), (0.012743-0.000000j), (0.008713+0.000000j), (-4.122159-0.000000j)
 (10.836200+0.000000j), (0.012688-0.000000j), (0.008594+0.000000j), (-4.126302-0.000000j)
 (10.837500+0.000000j), (0.012636-0.000000j), (0.008474-0.000000j), (-4.130676-0.000000j)
 (10.838700+0.000000j), (0.012586-0.000000j), (0.008352+0.000000j), (-4.135276-0.000000j)
 (10.840000+0.000000j), (0.012538-0.000000j), (0.008229+0.000000j), (-4.140097-0.000000j)
 (10.841200+0.000000j), (0.012493-0.000000j), (0.008104+0.000000j), (-4.145134-0.000000j)
 (10.842500+0.000000j), (0.012449-0.000000j), (0.007979+0.000000j), (-4.150381-0.000000j)
 (10.843700+0.000000j), (0.012408-0.000000j), (0.007852+0.000000j), (-4.155832-0.000000j)
 (10.845000+0.000000j), (0.012368-0.000000j), (0.007724+0.000000j), (-4.161482-0.000000j)
 (10.846200+0.000000j), (0.012330-0.000000j), (0.007594+0.000000j), (-4.167324-0.000000j)
 (10.847500+0.000000j), (0.012293-0.000000j), (0.007464+0.000000j), (-4.173353-0.000000j)
 (10.848700+0.000000j), (0.012258-0.000000j), (0.007332+0.000000j), (-4.179562-0.000000j)
 (10.850000+0.000000j), (0.012224-0.000000j), (0.007200+0.000000j), (-4.185945-0.000000j)
 (10.851200+0.000000j), (0.012192-0.000000j), (0.007066+0.000000j), (-4.192498-0.000000j)
 (10.852500+0.000000j), (0.012162-0.000000j), (0.006931+0.000000j), (-4.199217-0.000000j)
 (10.853700+0.000000j), (0.012134-0.000000j), (0.006796+0.000000j), (-4.206098-0.000000j)
 (10.855000+0.000000j), (0.012107-0.000000j), (0.006659+0.000000j), (-4.213141+0.000000j)
 (10.856200+0.000000j), (0.012081-0.000000j), (0.006522+0.000000j), (-4.220343+0.000000j)
 (10.857500+0.000000j), (0.012058-0.000000j), (0.006384-0.000000j), (-4.227704-0.000000j)
 (10.858700+0.000000j), (0.012035-0.000000j), (0.006245+0.000000j), (-4.235222-0.000000j)
 (10.860000+0.000000j), (0.012014-0.000000j), (0.006106-0.000000j), (-4.242897-0.000000j)
 (10.861200+0.000000j), (0.011994-0.000000j), (0.005966+0.000000j), (-4.250725-0.000000j)
 (10.862500+0.000000j), (0.011974-0.000000j), (0.005827+0.000000j), (-4.258707-0.000000j)
 (10.863700+0.000000j), (0.011955-0.000000j), (0.005687+0.000000j), (-4.266840-0.000000j)
 (10.865000+0.000000j), (0.011937-0.000000j), (0.005547-0.000000j), (-4.275123-0.000000j)
 (10.866200+0.000000j), (0.011919-0.000000j), (0.005408+0.000000j), (-4.283553+0.000000j)
 (10.867500+0.000000j), (0.011901-0.000000j), (0.005269+0.000000j), (-4.292129-0.000000j)
 (10.868700+0.000000j), (0.011883-0.000000j), (0.005131+0.000000j), (-4.300846-0.000000j)
 (10.870000+0.000000j), (0.011865-0.000000j), (0.004994+0.000000j), (-4.309701-0.000000j)
 (10.871200+0.000000j), (0.011847-0.000000j), (0.004857+0.000000j), (-4.318689-0.000000j)
 (10.872500+0.000000j), (0.011829-0.000000j), (0.004722+0.000000j), (-4.327807-0.000000j)
 (10.873700+0.000000j), (0.011810-0.000000j), (0.004587-0.000000j), (-4.337049-0.000000j)
 (10.875000+0.000000j), (0.011792-0.000000j), (0.004454+0.000000j), (-4.346411-0.000000j)
 (10.876200+0.000000j), (0.011773-0.000000j), (0.004322-0.000000j), (-4.355889-0.000000j)
