 (7.819370+0.000000j), (-2.624643-0.000000j), (10.954792+0.000000j), (-9.185386-0.000000j)
 (7.820630+0.000000j), (-2.226609+0.000000j), (10.305543-0.000000j), (-11.991153+0.000000j)
 (7.821880+0.000000j), (-2.198639-0.000000j), (9.770459-0.000000j), (-14.238175-0.000000j)
 (7.823130+0.000000j), (-3.110279-0.000000j), (9.627457+0.000000j), (-16.624482+0.000000j)
 (7.824380+0.000000j), (-3.359468+0.000000j), (9.073643-0.000000j), (-18.529646-0.000000j)
 (7.825630+0.000000j), (-3.042426+0.000000j), (8.060707-0.000000j), (-19.212807-0.000000j)
 (7.826890+0.000000j), (-3.153319+0.000000j), (7.222263-0.000000j), (-20.299714-0.000000j)
 (7.828140+0.000000j), (-4.204691+0.000000j), (6.530151+0.000000j), (-19.451641+0.000000j)
 (7.829390+0.000000j), (-4.618019-0.000000j), (5.757592+0.000000j), (-19.934124-0.000000j)
 (7.830640+0.000000j), (-4.251745-0.000000j), (5.505238+0.000000j), (-20.180240+0.000000j)
 (7.831890+0.000000j), (-4.222604+0.000000j), (4.926931-0.000000j), (-20.682892-0.000000j)
 (7.833140+0.000000j), (-3.995886+0.000000j), (5.066294-0.000000j), (-19.234331+0.000000j)
 (7.834400+0.000000j), (-3.895643+0.000000j), (4.589887-0.000000j), (-19.122597-0.000000j)
 (7.835650+0.000000j), (-3.708064+0.000000j), (3.833424+0.000000j), (-19.172137+0.000000j)
 (7.836900+0.000000j), (-3.638729-0.000000j), (3.084863+0.000000j), (-19.515823-0.000000j)
 (7.838150+0.000000j), (-4.082768-0.000000j), (3.505614+0.000000j), (-19.425817+0.000000j)
 (7.839400+0.000000j), (-4.319021+0.000000j), (3.144466-0.000000j), (-19.920590-0.000000j)
 (7.840660+0.000000j), (-4.647948-0.000000j), (3.019380+0.000000j), (-20.588608-0.000000j)
 (7.841910+0.000000j), (-4.814585-0.000000j), (2.585364+0.000000j), (-21.371922+0.000000j)
 (7.843160+0.000000j), (-3.284902+0.000000j), (3.511173+0.000000j), (-19.187469-0.000000j)
 (7.844410+0.000000j), (-2.553039+0.000000j), (3.601800-0.000000j), (-18.698308-0.000000j)
 (7.845660+0.000000j), (-3.262326+0.000000j), (3.682472+0.000000j), (-18.039159+0.000000j)
 (7.846920+0.000000j), (-3.247130-0.000000j), (3.570710+0.000000j), (-17.852684-0.000000j)
 (7.848170+0.000000j), (-2.327300-0.000000j), (3.683721-0.000000j), (-17.775365-0.000000j)
 (7.849420+0.000000j), (-1.655503+0.000000j), (3.591505-0.000000j), (-17.884196-0.000000j)
 (7.850670+0.000000j), (-3.397074+0.000000j), (3.873316-0.000000j), (-16.704613+0.000000j)
 (7.851920+0.000000j), (-4.080256-0.000000j), (3.866822+0.000000j), (-16.337064-0.000000j)
 (7.853170+0.000000j), (-3.869445+0.000000j), (2.346380+0.000000j), (-17.478309-0.000000j)
 (7.854430+0.000000j), (-3.891533-0.000000j), (1.166907+0.000000j), (-18.488691-0.000000j)
 (7.855680+0.000000j), (-2.389638+0.000000j), (1.944683-0.000000j), (-17.434080+0.000000j)
 (7.856930+0.000000j), (-1.138970-0.000000j), (1.625640+0.000000j), (-17.760280-0.000000j)
 (7.858180+0.000000j), (-2.970611+0.000000j), (0.828631+0.000000j), (-16.862215-0.000000j)
 (7.859430+0.000000j), (-3.352569+0.000000j), (-0.438688-0.000000j), (-17.141141+0.000000j)
 (7.860690+0.000000j), (-4.341900-0.000000j), (0.929792+0.000000j), (-14.937825-0.000000j)
 (7.861940+0.000000j), (-4.969367-0.000000j), (0.710488+0.000000j), (-14.116904+0.000000j)
 (7.863190+0.000000j), (-5.008385+0.000000j), (1.157296+0.000000j), (-13.192299+0.000000j)
 (7.864440+0.000000j), (-5.163036+0.000000j), (0.629340-0.000000j), (-12.644971-0.000000j)
 (7.865690+0.000000j), (-6.250467+0.000000j), (1.944871+0.000000j), (-11.679995+0.000000j)
 (7.866950+0.000000j), (-7.222201-0.000000j), (1.986544-0.000000j), (-11.118760-0.000000j)
 (7.868200+0.000000j), (-7.161198+0.000000j), (3.398637-0.000000j), (-9.022165+0.000000j)
 (7.869450+0.000000j), (-7.760797+0.000000j), (3.994230+0.000000j), (-7.021345-0.000000j)
 (7.870700+0.000000j), (-7.765958+0.000000j), (5.513654-0.000000j), (-7.652162+0.000000j)
 (7.871950+0.000000j), (-8.377924-0.000000j), (7.088936-0.000000j), (-7.069698-0.000000j)
 (7.873210+0.000000j), (-7.870487+0.000000j), (6.107134+0.000000j), (-6.065589+0.000000j)
 (7.874460+0.000000j), (-7.865530-0.000000j), (6.013688-0.000000j), (-4.228071-0.000000j)
 (7.875710+0.000000j), (-8.811556+0.000000j), (7.354135-0.000000j), (-6.045469-0.000000j)
 (7.876960+0.000000j), (-10.086702-0.000000j), (8.981688+0.000000j), (-6.395583+0.000000j)
 (7.878210+0.000000j), (-9.396190+0.000000j), (8.239838-0.000000j), (-6.303521-0.000000j)
 (7.879460+0.000000j), (-9.882454+0.000000j), (9.187843+0.000000j), (-6.457169-0.000000j)
 (7.880720+0.000000j), (-10.347270-0.000000j), (8.220641+0.000000j), (-5.467285-0.000000j)
 (7.881970+0.000000j), (-12.209952+0.000000j), (8.824092-0.000000j), (-4.657427+0.000000j)
 (7.883220+0.000000j), (-10.560194+0.000000j), (7.261132+0.000000j), (-4.197822-0.000000j)
 (7.884470+0.000000j), (-11.401937-0.000000j), (6.500892+0.000000j), (-2.910123+0.000000j)
 (7.885720+0.000000j), (-9.638497+0.000000j), (7.408088-0.000000j), (-3.362912-0.000000j)
 (7.886980+0.000000j), (-9.570550-0.000000j), (9.277855+0.000000j), (-2.258615+0.000000j)
 (7.888230+0.000000j), (-8.980993+0.000000j), (5.915510-0.000000j), (-3.512406-0.000000j)
 (7.889480+0.000000j), (-9.990993-0.000000j), (3.661573-0.000000j), (-3.511939-0.000000j)
 (7.890730+0.000000j), (-7.421275-0.000000j), (4.633843+0.000000j), (-4.138132+0.000000j)
 (7.891980+0.000000j), (-6.230974-0.000000j), (4.516827+0.000000j), (-4.703082+0.000000j)
 (7.893240+0.000000j), (-5.702924+0.000000j), (4.158137-0.000000j), (-4.390124-0.000000j)
 (7.894490+0.000000j), (-5.142766-0.000000j), (3.372411+0.000000j), (-4.733938+0.000000j)
 (7.895740+0.000000j), (-4.356274+0.000000j), (3.909642-0.000000j), (-3.972724-0.000000j)
 (7.896990+0.000000j), (-3.550045+0.000000j), (3.905231+0.000000j), (-3.593005+0.000000j)
 (7.898240+0.000000j), (-2.768711-0.000000j), (4.111022+0.000000j), (-3.434883-0.000000j)
 (7.899500+0.000000j), (-0.995207+0.000000j), (4.916809-0.000000j), (-3.444389+0.000000j)
 (7.900750+0.000000j), (-1.601617+0.000000j), (3.642849-0.000000j), (-2.714145-0.000000j)
 (7.902000+0.000000j), (-0.542030+0.000000j), (2.893314+0.000000j), (-1.968124-0.000000j)
 (7.903250+0.000000j), (-0.846689-0.000000j), (2.898308+0.000000j), (-1.976732+0.000000j)
 (7.904500+0.000000j), (1.204941-0.000000j), (2.779877+0.000000j), (-1.981774+0.000000j)
 (7.905750+0.000000j), (-1.186170+0.000000j), (2.294649-0.000000j), (-0.902862-0.000000j)
 (7.907010+0.000000j), (-2.423944+0.000000j), (1.716300-0.000000j), (0.729783+0.000000j)
 (7.908260+0.000000j), (-1.772153-0.000000j), (1.591316+0.000000j), (0.443120-0.000000j)
 (7.909510+0.000000j), (-1.400810+0.000000j), (1.162367-0.000000j), (2.052863-0.000000j)
 (7.910760+0.000000j), (-1.597488-0.000000j), (0.915309-0.000000j), (1.346393-0.000000j)
 (7.912010+0.000000j), (-1.426071+0.000000j), (0.750558+0.000000j), (3.179919+0.000000j)
 (7.913270+0.000000j), (-1.701700-0.000000j), (-0.421167-0.000000j), (1.508097-0.000000j)
 (7.914520+0.000000j), (-2.483653+0.000000j), (-2.733953+0.000000j), (1.746078+0.000000j)
 (7.915770+0.000000j), (-1.121466+0.000000j), (-2.003515-0.000000j), (1.519162-0.000000j)
 (7.917020+0.000000j), (0.906600-0.000000j), (-4.183121-0.000000j), (3.653914+0.000000j)
 (7.918270+0.000000j), (-0.530561+0.000000j), (-2.312358+0.000000j), (1.214984+0.000000j)
 (7.919530+0.000000j), (-1.509691-0.000000j), (-2.876483-0.000000j), (0.913838+0.000000j)
 (7.920780+0.000000j), (-0.315293+0.000000j), (-1.762931+0.000000j), (-0.245539+0.000000j)
 (7.922030+0.000000j), (1.813135-0.000000j), (-2.162323+0.000000j), (-0.835408-0.000000j)
 (7.923280+0.000000j), (0.534227+0.000000j), (-1.308113-0.000000j), (-1.335613-0.000000j)
 (7.924530+0.000000j), (0.906162+0.000000j), (-1.969689-0.000000j), (-1.827584+0.000000j)
 (7.925790+0.000000j), (0.300058-0.000000j), (-0.652136+0.000000j), (-1.968112-0.000000j)
 (7.927040+0.000000j), (1.585440+0.000000j), (-0.657114-0.000000j), (-2.051932+0.000000j)
 (7.928290+0.000000j), (-0.572421+0.000000j), (0.739219-0.000000j), (-2.380677-0.000000j)
 (7.929540+0.000000j), (-2.212636-0.000000j), (2.340077+0.000000j), (-2.750216+0.000000j)
 (7.930790+0.000000j), (-2.359383-0.000000j), (2.046617+0.000000j), (-2.791769+0.000000j)
 (7.932040+0.000000j), (-3.172028+0.000000j), (2.653583+0.000000j), (-3.131970+0.000000j)
 (7.933300+0.000000j), (-3.064013+0.000000j), (1.945437-0.000000j), (-2.740073-0.000000j)
 (7.934550+0.000000j), (-3.913402+0.000000j), (0.990354+0.000000j), (-1.854211-0.000000j)
 (7.935800+0.000000j), (-3.162041-0.000000j), (1.686709-0.000000j), (-2.709919+0.000000j)
 (7.937050+0.000000j), (-2.702551-0.000000j), (2.606974-0.000000j), (-3.859368-0.000000j)
 (7.938300+0.000000j), (-2.895873+0.000000j), (1.963631+0.000000j), (-3.070746+0.000000j)
 (7.939560+0.000000j), (-4.033976-0.000000j), (1.069778-0.000000j), (-1.914740-0.000000j)
 (7.940810+0.000000j), (-2.599019+0.000000j), (1.409687-0.000000j), (-2.449287+0.000000j)
 (7.942060+0.000000j), (-0.686254-0.000000j), (1.467178+0.000000j), (-2.685207-0.000000j)
 (7.943310+0.000000j), (-1.182779-0.000000j), (1.534605+0.000000j), (-2.694942+0.000000j)
 (7.944560+0.000000j), (-1.082910+0.000000j), (1.533976+0.000000j), (-2.291982+0.000000j)
 (7.945820+0.000000j), (-1.374394+0.000000j), (1.294166-0.000000j), (-2.622731-0.000000j)
 (7.947070+0.000000j), (-1.521959+0.000000j), (0.418408-0.000000j), (-2.626503+0.000000j)
 (7.948320+0.000000j), (-1.269095-0.000000j), (0.957277-0.000000j), (-2.883954-0.000000j)
 (7.949570+0.000000j), (0.029887-0.000000j), (1.613015+0.000000j), (-2.966839+0.000000j)
 (7.950820+0.000000j), (-1.047539-0.000000j), (1.016078+0.000000j), (-3.137581-0.000000j)
 (7.952080+0.000000j), (-2.026988+0.000000j), (-0.509493+0.000000j), (-3.333990+0.000000j)
 (7.953330+0.000000j), (-2.313010-0.000000j), (0.000644-0.000000j), (-3.293855+0.000000j)
 (7.954580+0.000000j), (-2.717161+0.000000j), (-0.204423-0.000000j), (-3.415138-0.000000j)
 (7.955830+0.000000j), (-2.792861+0.000000j), (0.259905-0.000000j), (-2.990197-0.000000j)
 (7.957080+0.000000j), (-3.021941-0.000000j), (0.143389+0.000000j), (-2.044967+0.000000j)
 (7.958330+0.000000j), (-3.178017-0.000000j), (0.431593-0.000000j), (-2.212572-0.000000j)
 (7.959590+0.000000j), (-4.140483+0.000000j), (-0.323944+0.000000j), (-2.035242-0.000000j)
 (7.960840+0.000000j), (-3.399847+0.000000j), (0.745510-0.000000j), (-2.147064-0.000000j)
 (7.962090+0.000000j), (-2.498816+0.000000j), (2.030555-0.000000j), (-1.665531+0.000000j)
 (7.963340+0.000000j), (-2.377584+0.000000j), (2.041036+0.000000j), (-2.101034-0.000000j)
 (7.964590+0.000000j), (-2.488185+0.000000j), (1.373249-0.000000j), (-2.266914+0.000000j)
 (7.965850+0.000000j), (-2.269025-0.000000j), (1.820027+0.000000j), (-2.759967-0.000000j)
 (7.967100+0.000000j), (-2.242170+0.000000j), (1.902515+0.000000j), (-3.644748-0.000000j)
 (7.968350+0.000000j), (-1.814862-0.000000j), (2.587127+0.000000j), (-3.514874-0.000000j)
 (7.969600+0.000000j), (-1.325803+0.000000j), (3.543253-0.000000j), (-3.876312+0.000000j)
 (7.970850+0.000000j), (-1.027045-0.000000j), (3.616558-0.000000j), (-2.841698-0.000000j)
 (7.972110+0.000000j), (-1.148311+0.000000j), (3.221961-0.000000j), (-0.686196-0.000000j)
 (7.973360+0.000000j), (-0.110249+0.000000j), (3.693916-0.000000j), (-0.697588+0.000000j)
 (7.974610+0.000000j), (2.374304-0.000000j), (4.849714+0.000000j), (-0.934034+0.000000j)
 (7.975860+0.000000j), (2.110287+0.000000j), (4.507039-0.000000j), (-0.596841+0.000000j)
 (7.977110+0.000000j), (1.240322+0.000000j), (3.333228+0.000000j), (0.573262-0.000000j)
 (7.978370+0.000000j), (1.438544-0.000000j), (3.558620-0.000000j), (0.585473+0.000000j)
 (7.979620+0.000000j), (1.944956+0.000000j), (4.158710-0.000000j), (0.549137+0.000000j)
 (7.980870+0.000000j), (2.669690-0.000000j), (4.280695-0.000000j), (1.010683-0.000000j)
 (7.982120+0.000000j), (4.743490-0.000000j), (4.604547+0.000000j), (2.632811+0.000000j)
 (7.983370+0.000000j), (4.746697+0.000000j), (4.206592+0.000000j), (2.807315-0.000000j)
 (7.984620+0.000000j), (4.969693-0.000000j), (3.149749-0.000000j), (3.707922-0.000000j)
 (7.985880+0.000000j), (4.628978+0.000000j), (2.981099-0.000000j), (3.407781+0.000000j)
 (7.987130+0.000000j), (4.320126-0.000000j), (3.123146+0.000000j), (3.141001+0.000000j)
 (7.988380+0.000000j), (4.458666-0.000000j), (2.614461-0.000000j), (3.102918+0.000000j)
 (7.989630+0.000000j), (6.479561+0.000000j), (1.097747-0.000000j), (3.893870-0.000000j)
 (7.990880+0.000000j), (5.466881-0.000000j), (0.828596+0.000000j), (4.169409-0.000000j)
 (7.992140+0.000000j), (2.597296+0.000000j), (0.680888-0.000000j), (6.085376+0.000000j)
 (7.993390+0.000000j), (2.180648+0.000000j), (0.315127+0.000000j), (5.531873+0.000000j)
 (7.994640+0.000000j), (3.687323-0.000000j), (-1.057192-0.000000j), (4.332809-0.000000j)
 (7.995890+0.000000j), (3.131744+0.000000j), (-1.232817-0.000000j), (3.666064-0.000000j)
 (7.997140+0.000000j), (1.584680+0.000000j), (-1.531829+0.000000j), (3.872554+0.000000j)
 (7.998400+0.000000j), (1.083679-0.000000j), (-1.486399-0.000000j), (3.323183-0.000000j)
 (7.999650+0.000000j), (1.661278+0.000000j), (-1.876899-0.000000j), (3.368775+0.000000j)
 (8.000900+0.000000j), (1.110138-0.000000j), (-1.645345+0.000000j), (2.408269+0.000000j)
 (8.002150+0.000000j), (0.106059-0.000000j), (-1.373019+0.000000j), (0.867958-0.000000j)
 (8.003400+0.000000j), (-0.736875+0.000000j), (-1.107043+0.000000j), (-0.061742-0.000000j)
 (8.004650+0.000000j), (-1.695408-0.000000j), (-1.304119-0.000000j), (0.077055-0.000000j)
 (8.005910+0.000000j), (-2.469939+0.000000j), (-1.111052+0.000000j), (-0.991796-0.000000j)
 (8.007160+0.000000j), (-2.958351-0.000000j), (-1.330510-0.000000j), (-3.221261+0.000000j)
 (8.008410+0.000000j), (-3.766397+0.000000j), (-0.963580+0.000000j), (-4.157326-0.000000j)
 (8.009660+0.000000j), (-4.952719-0.000000j), (-0.277465+0.000000j), (-3.168920+0.000000j)
 (8.010910+0.000000j), (-5.780439+0.000000j), (0.099557+0.000000j), (-3.727248+0.000000j)
 (8.012170+0.000000j), (-6.324769+0.000000j), (-0.359535+0.000000j), (-4.591107+0.000000j)
 (8.013420+0.000000j), (-6.773726-0.000000j), (-0.212740-0.000000j), (-5.805063-0.000000j)
 (8.014670+0.000000j), (-6.314413+0.000000j), (-0.413795-0.000000j), (-7.915287-0.000000j)
 (8.015920+0.000000j), (-6.301268-0.000000j), (-0.083787+0.000000j), (-9.137650-0.000000j)
 (8.017170+0.000000j), (-5.303255-0.000000j), (0.597208+0.000000j), (-8.482745-0.000000j)
 (8.018430+0.000000j), (-5.089813+0.000000j), (0.997318-0.000000j), (-9.224209+0.000000j)
 (8.019680+0.000000j), (-4.627467+0.000000j), (0.317170+0.000000j), (-10.518809-0.000000j)
 (8.020930+0.000000j), (-4.474226+0.000000j), (0.313068-0.000000j), (-11.481844+0.000000j)
 (8.022180+0.000000j), (-3.771469-0.000000j), (-0.256179-0.000000j), (-10.722934-0.000000j)
 (8.023430+0.000000j), (-3.651670-0.000000j), (-0.236479+0.000000j), (-11.022927+0.000000j)
 (8.024690+0.000000j), (-3.853644-0.000000j), (-0.116586-0.000000j), (-10.234283+0.000000j)
 (8.025940+0.000000j), (-3.829700+0.000000j), (-0.009282+0.000000j), (-10.460041-0.000000j)
 (8.027190+0.000000j), (-2.247059+0.000000j), (-0.998673+0.000000j), (-10.608172+0.000000j)
 (8.028440+0.000000j), (-1.694664-0.000000j), (-1.293117+0.000000j), (-11.040843+0.000000j)
 (8.029690+0.000000j), (-1.619687+0.000000j), (-1.920555+0.000000j), (-10.246136-0.000000j)
 (8.030940+0.000000j), (-1.376199+0.000000j), (-2.150768-0.000000j), (-10.486407-0.000000j)
 (8.032200+0.000000j), (-0.144648+0.000000j), (-2.131375-0.000000j), (-11.053192-0.000000j)
 (8.033450+0.000000j), (0.414309-0.000000j), (-2.034119+0.000000j), (-11.653854+0.000000j)
 (8.034700+0.000000j), (0.026336+0.000000j), (-1.485500-0.000000j), (-10.176608-0.000000j)
 (8.035950+0.000000j), (0.035700+0.000000j), (-1.131556-0.000000j), (-10.027950-0.000000j)
 (8.037200+0.000000j), (0.678355-0.000000j), (-1.960570+0.000000j), (-9.879534+0.000000j)
 (8.038460+0.000000j), (0.980471+0.000000j), (-2.111074+0.000000j), (-10.131751-0.000000j)
 (8.039710+0.000000j), (1.106508-0.000000j), (-1.924207-0.000000j), (-10.274508-0.000000j)
 (8.040960+0.000000j), (1.287205-0.000000j), (-1.760911+0.000000j), (-10.821572+0.000000j)
 (8.042210+0.000000j), (2.054070-0.000000j), (-2.086351-0.000000j), (-10.819811+0.000000j)
 (8.043460+0.000000j), (2.555398+0.000000j), (-2.069602+0.000000j), (-11.385700-0.000000j)
 (8.044720+0.000000j), (2.564215+0.000000j), (-1.742768-0.000000j), (-9.930643-0.000000j)
 (8.045970+0.000000j), (2.835337+0.000000j), (-1.388706-0.000000j), (-9.703024-0.000000j)
 (8.047220+0.000000j), (3.490481-0.000000j), (-1.612529-0.000000j), (-9.591995+0.000000j)
 (8.048470+0.000000j), (4.101774-0.000000j), (-1.456190+0.000000j), (-9.779118+0.000000j)
 (8.049720+0.000000j), (3.414511-0.000000j), (-2.392040-0.000000j), (-9.357454-0.000000j)
 (8.050980+0.000000j), (3.327305+0.000000j), (-2.807519-0.000000j), (-9.477302+0.000000j)
 (8.052230+0.000000j), (3.318630+0.000000j), (-2.487495-0.000000j), (-9.659532-0.000000j)
 (8.053480+0.000000j), (3.353270+0.000000j), (-2.402530+0.000000j), (-10.171952+0.000000j)
 (8.054730+0.000000j), (3.891467+0.000000j), (-2.623347+0.000000j), (-9.424957-0.000000j)
 (8.055980+0.000000j), (4.393541-0.000000j), (-2.760226-0.000000j), (-9.465983+0.000000j)
 (8.057230+0.000000j), (4.306889-0.000000j), (-2.498753-0.000000j), (-10.020023-0.000000j)
 (8.058490+0.000000j), (4.658073+0.000000j), (-2.405771+0.000000j), (-10.898631+0.000000j)
 (8.059740+0.000000j), (3.340307-0.000000j), (-2.224182-0.000000j), (-9.960315-0.000000j)
 (8.060990+0.000000j), (2.487382-0.000000j), (-2.077074+0.000000j), (-10.108818-0.000000j)
 (8.062240+0.000000j), (3.600035+0.000000j), (-1.414645-0.000000j), (-9.841952+0.000000j)
 (8.063490+0.000000j), (4.028202+0.000000j), (-0.690761+0.000000j), (-10.150940+0.000000j)
 (8.064750+0.000000j), (4.408943+0.000000j), (-1.564461-0.000000j), (-11.177320-0.000000j)
 (8.066000+0.000000j), (5.044533-0.000000j), (-1.904335-0.000000j), (-13.106938-0.000000j)
 (8.067250+0.000000j), (4.359519+0.000000j), (-1.398000+0.000000j), (-10.773589+0.000000j)
 (8.068500+0.000000j), (4.220289+0.000000j), (-1.179158-0.000000j), (-10.793020-0.000000j)
 (8.069750+0.000000j), (4.558515-0.000000j), (-0.848884+0.000000j), (-8.836284+0.000000j)
 (8.071010+0.000000j), (4.986101+0.000000j), (-0.547485-0.000000j), (-7.553155-0.000000j)
 (8.072260+0.000000j), (4.873324+0.000000j), (0.640109-0.000000j), (-9.248438-0.000000j)
 (8.073510+0.000000j), (5.338740+0.000000j), (2.407881-0.000000j), (-10.848815-0.000000j)
 (8.074760+0.000000j), (4.654824-0.000000j), (0.754419+0.000000j), (-9.178659-0.000000j)
 (8.076010+0.000000j), (4.566563-0.000000j), (0.695870+0.000000j), (-9.271368+0.000000j)
 (8.077270+0.000000j), (4.329120-0.000000j), (0.054770-0.000000j), (-8.082528-0.000000j)
 (8.078520+0.000000j), (4.225828+0.000000j), (-0.463238-0.000000j), (-7.423715-0.000000j)
 (8.079770+0.000000j), (4.226149-0.000000j), (0.384149-0.000000j), (-8.536047+0.000000j)
 (8.081020+0.000000j), (4.239305-0.000000j), (1.130635+0.000000j), (-10.429078-0.000000j)
 (8.082270+0.000000j), (4.491726+0.000000j), (0.883084+0.000000j), (-8.140334+0.000000j)
 (8.083520+0.000000j), (5.044817-0.000000j), (1.448525-0.000000j), (-8.142254+0.000000j)
 (8.084780+0.000000j), (4.653151-0.000000j), (0.635513+0.000000j), (-6.277186-0.000000j)
 (8.086030+0.000000j), (5.044142+0.000000j), (0.143081-0.000000j), (-4.777694-0.000000j)
 (8.087280+0.000000j), (4.381178-0.000000j), (0.710070+0.000000j), (-5.307710+0.000000j)
 (8.088530+0.000000j), (4.251052+0.000000j), (0.874371-0.000000j), (-5.042760-0.000000j)
 (8.089780+0.000000j), (4.185178+0.000000j), (1.604131+0.000000j), (-5.533069+0.000000j)
 (8.091040+0.000000j), (4.270318-0.000000j), (2.773186+0.000000j), (-6.386547-0.000000j)
 (8.092290+0.000000j), (4.603594-0.000000j), (2.402118+0.000000j), (-5.602557+0.000000j)
 (8.093540+0.000000j), (6.054495+0.000000j), (3.466449-0.000000j), (-6.015344-0.000000j)
 (8.094790+0.000000j), (4.419786+0.000000j), (2.268220-0.000000j), (-5.380109+0.000000j)
 (8.096040+0.000000j), (4.441278+0.000000j), (1.520924-0.000000j), (-6.273811+0.000000j)
 (8.097300+0.000000j), (3.748848-0.000000j), (2.964281+0.000000j), (-4.586857-0.000000j)
 (8.098550+0.000000j), (4.440809-0.000000j), (5.434564-0.000000j), (-4.522131+0.000000j)
 (8.099800+0.000000j), (2.444432+0.000000j), (3.336512-0.000000j), (-2.915593-0.000000j)
 (8.101050+0.000000j), (0.835584+0.000000j), (3.044118+0.000000j), (-0.941965+0.000000j)
 (8.102300+0.000000j), (1.314139-0.000000j), (3.110874+0.000000j), (-2.022070-0.000000j)
 (8.103560+0.000000j), (1.299322+0.000000j), (4.032168+0.000000j), (-2.144070-0.000000j)
 (8.104810+0.000000j), (0.752104-0.000000j), (3.046168+0.000000j), (-2.167914+0.000000j)
 (8.106060+0.000000j), (0.230830+0.000000j), (2.508291-0.000000j), (-3.305220-0.000000j)
 (8.107310+0.000000j), (0.130932-0.000000j), (3.546971+0.000000j), (-1.474252-0.000000j)
 (8.108560+0.000000j), (0.119886+0.000000j), (6.076471+0.000000j), (-0.547708+0.000000j)
 (8.109810+0.000000j), (-0.446149-0.000000j), (3.985910-0.000000j), (-0.094700+0.000000j)
 (8.111070+0.000000j), (-0.324564+0.000000j), (4.266602+0.000000j), (0.692269-0.000000j)
 (8.112320+0.000000j), (-1.628784+0.000000j), (3.479744-0.000000j), (1.096953+0.000000j)
 (8.113570+0.000000j), (-2.878147-0.000000j), (4.554383-0.000000j), (2.482734-0.000000j)
 (8.114820+0.000000j), (-3.133717+0.000000j), (2.703166+0.000000j), (2.010100+0.000000j)
 (8.116070+0.000000j), (-4.060431+0.000000j), (1.705921+0.000000j), (2.529282+0.000000j)
 (8.117330+0.000000j), (-4.285643-0.000000j), (2.001369-0.000000j), (2.900153-0.000000j)
 (8.118580+0.000000j), (-4.719822-0.000000j), (3.229310+0.000000j), (5.413909+0.000000j)
 (8.119830+0.000000j), (-5.897637+0.000000j), (1.977796-0.000000j), (3.387382-0.000000j)
 (8.121080+0.000000j), (-7.777171+0.000000j), (2.683804-0.000000j), (3.857827-0.000000j)
 (8.122330+0.000000j), (-8.540426-0.000000j), (0.891964+0.000000j), (2.227200+0.000000j)
 (8.123590+0.000000j), (-12.689727-0.000000j), (0.167456+0.000000j), (1.729303+0.000000j)
 (8.124840+0.000000j), (-10.285315+0.000000j), (-0.686987+0.000000j), (0.743715-0.000000j)
 (8.126090+0.000000j), (-11.120834-0.000000j), (-1.577764-0.000000j), (0.172288-0.000000j)
 (8.127340+0.000000j), (-10.350386+0.000000j), (-1.472018+0.000000j), (-1.026686-0.000000j)
 (8.128590+0.000000j), (-12.744698-0.000000j), (-0.371996-0.000000j), (-3.558196+0.000000j)
 (8.129850+0.000000j), (-10.493140-0.000000j), (-2.193850+0.000000j), (-2.552648-0.000000j)
 (8.131100+0.000000j), (-10.808066+0.000000j), (-3.629997+0.000000j), (-2.911868+0.000000j)
 (8.132350+0.000000j), (-9.677979-0.000000j), (-3.980796-0.000000j), (-2.792346-0.000000j)
 (8.133600+0.000000j), (-11.016526+0.000000j), (-4.484279+0.000000j), (-3.966442+0.000000j)
 (8.134850+0.000000j), (-9.159725+0.000000j), (-4.916988-0.000000j), (-3.437476+0.000000j)
 (8.136100+0.000000j), (-9.812994+0.000000j), (-5.344454+0.000000j), (-4.759800-0.000000j)
 (8.137360+0.000000j), (-7.655880+0.000000j), (-5.973637+0.000000j), (-3.483884+0.000000j)
 (8.138610+0.000000j), (-7.161185-0.000000j), (-7.031306+0.000000j), (-3.711115+0.000000j)
 (8.139860+0.000000j), (-5.489947-0.000000j), (-7.082322+0.000000j), (-2.722871-0.000000j)
 (8.141110+0.000000j), (-4.481078+0.000000j), (-7.639122-0.000000j), (-2.617504-0.000000j)
 (8.142360+0.000000j), (-3.657077+0.000000j), (-7.553063-0.000000j), (-2.433970-0.000000j)
 (8.143620+0.000000j), (-3.750266-0.000000j), (-7.464928+0.000000j), (-4.850918-0.000000j)
 (8.144870+0.000000j), (-2.179515-0.000000j), (-7.968839-0.000000j), (-1.927455+0.000000j)
 (8.146120+0.000000j), (-0.261715-0.000000j), (-8.808036+0.000000j), (0.305761-0.000000j)
 (8.147370+0.000000j), (-0.489725+0.000000j), (-8.823662-0.000000j), (1.335906-0.000000j)
 (8.148620+0.000000j), (-2.071149-0.000000j), (-9.109965-0.000000j), (2.245033+0.000000j)
 (8.149880+0.000000j), (-0.011690-0.000000j), (-8.995800+0.000000j), (2.939791+0.000000j)
 (8.151130+0.000000j), (2.235602-0.000000j), (-8.138165-0.000000j), (3.357200+0.000000j)
 (8.152380+0.000000j), (2.977859-0.000000j), (-9.523639-0.000000j), (4.562574-0.000000j)
 (8.153630+0.000000j), (4.218944+0.000000j), (-11.898869-0.000000j), (6.731958+0.000000j)
 (8.154880+0.000000j), (4.421151+0.000000j), (-11.641049-0.000000j), (6.610413-0.000000j)
 (8.156140+0.000000j), (4.717160-0.000000j), (-11.943557+0.000000j), (7.080902+0.000000j)
