 (0.187785+0.000000j), (-0.111206+0.000000j), (0.356723-0.000000j), (0.823603-0.000000j)
 (0.189037+0.000000j), (-0.421133-0.000000j), (0.281578+0.000000j), (0.816713+0.000000j)
 (0.190289+0.000000j), (-0.450609-0.000000j), (0.073294+0.000000j), (0.058222+0.000000j)
 (0.191541+0.000000j), (-0.620856+0.000000j), (-0.032800-0.000000j), (-0.451260-0.000000j)
 (0.192793+0.000000j), (0.572883-0.000000j), (-0.226365+0.000000j), (0.039462+0.000000j)
 (0.194045+0.000000j), (0.954707+0.000000j), (-0.216648-0.000000j), (-0.077198-0.000000j)
 (0.195297+0.000000j), (0.463637-0.000000j), (1.207613+0.000000j), (0.083619-0.000000j)
 (0.196548+0.000000j), (0.162165-0.000000j), (1.956219-0.000000j), (-0.097800+0.000000j)
 (0.197800+0.000000j), (-0.695952+0.000000j), (0.192384+0.000000j), (-0.128012-0.000000j)
 (0.199052+0.000000j), (-1.356677-0.000000j), (-0.463094+0.000000j), (-0.373752+0.000000j)
 (0.200304+0.000000j), (0.398957+0.000000j), (-0.653585-0.000000j), (0.629691-0.000000j)
 (0.201556+0.000000j), (0.989408-0.000000j), (-0.978751+0.000000j), (0.908004+0.000000j)
 (0.202808+0.000000j), (-0.156576-0.000000j), (-0.023639-0.000000j), (-0.107577-0.000000j)
 (0.204060+0.000000j), (-0.789855+0.000000j), (0.391298-0.000000j), (-0.751022+0.000000j)
 (0.205312+0.000000j), (-0.471827-0.000000j), (-0.152525+0.000000j), (1.131642+0.000000j)
 (0.206564+0.000000j), (-0.722584+0.000000j), (-0.342435-0.000000j), (1.987653+0.000000j)
 (0.207816+0.000000j), (-0.491196-0.000000j), (-0.080588+0.000000j), (0.332284-0.000000j)
 (0.209067+0.000000j), (-0.690991+0.000000j), (0.039307+0.000000j), (-0.542846+0.000000j)
 (0.210319+0.000000j), (0.261271-0.000000j), (0.360454-0.000000j), (-0.146557+0.000000j)
 (0.211571+0.000000j), (0.699815+0.000000j), (0.718183+0.000000j), (-0.421122+0.000000j)
 (0.212823+0.000000j), (0.565242+0.000000j), (0.328799+0.000000j), (-0.010904-0.000000j)
 (0.214075+0.000000j), (0.616182-0.000000j), (0.304776-0.000000j), (-0.058545+0.000000j)
 (0.215327+0.000000j), (0.234094-0.000000j), (-0.621679+0.000000j), (-0.480447+0.000000j)
 (0.216579+0.000000j), (-0.103276-0.000000j), (-1.463452-0.000000j), (-1.140550-0.000000j)
 (0.217831+0.000000j), (0.250761+0.000000j), (-0.127729+0.000000j), (-0.352817+0.000000j)
 (0.219083+0.000000j), (0.291335-0.000000j), (0.430101-0.000000j), (-0.364954+0.000000j)
 (0.220335+0.000000j), (-0.190594+0.000000j), (0.758357-0.000000j), (0.300363-0.000000j)
