 (0.618056+0.000000j)  (41.468183-0.000000j)  (-26.368244-0.000000j)  (40.922503-0.000000j)
 (0.620509+0.000000j)  (41.492269-0.000000j)  (-26.361288-0.000000j)  (40.933280+0.000000j)
 (0.622961+0.000000j)  (41.516189-0.000000j)  (-26.354230-0.000000j)  (40.943920-0.000000j)
 (0.625414+0.000000j)  (41.539942-0.000000j)  (-26.347071-0.000000j)  (40.954424+0.000000j)
 (0.627867+0.000000j)  (41.563528+0.000000j)  (-26.339809+0.000000j)  (40.964793+0.000000j)
 (0.630319+0.000000j)  (41.586947-0.000000j)  (-26.332446-0.000000j)  (40.975027+0.000000j)
 (0.632772+0.000000j)  (41.610201+0.000000j)  (-26.324979-0.000000j)  (40.985124+0.000000j)
 (0.635224+0.000000j)  (41.633291-0.000000j)  (-26.317411-0.000000j)  (40.995085+0.000000j)
 (0.637677+0.000000j)  (41.656216-0.000000j)  (-26.309742+0.000000j)  (41.004909+0.000000j)
 (0.640130+0.000000j)  (41.678976-0.000000j)  (-26.301973-0.000000j)  (41.014598+0.000000j)
 (0.642582+0.000000j)  (41.701572-0.000000j)  (-26.294100+0.000000j)  (41.024151-0.000000j)
 (0.645035+0.000000j)  (41.724002+0.000000j)  (-26.286125-0.000000j)  (41.033568+0.000000j)
 (0.647487+0.000000j)  (41.746266-0.000000j)  (-26.278047+0.000000j)  (41.042849-0.000000j)
 (0.649940+0.000000j)  (41.768363-0.000000j)  (-26.269865+0.000000j)  (41.051993+0.000000j)
 (0.652393+0.000000j)  (41.790293-0.000000j)  (-26.261581-0.000000j)  (41.061001-0.000000j)
 (0.654845+0.000000j)  (41.812056+0.000000j)  (-26.253193-0.000000j)  (41.069872+0.000000j)
 (0.657298+0.000000j)  (41.833651-0.000000j)  (-26.244703-0.000000j)  (41.078607+0.000000j)
 (0.659750+0.000000j)  (41.855079-0.000000j)  (-26.236109+0.000000j)  (41.087206+0.000000j)
 (0.662203+0.000000j)  (41.876339+0.000000j)  (-26.227411-0.000000j)  (41.095669+0.000000j)
 (0.664656+0.000000j)  (41.897433+0.000000j)  (-26.218609-0.000000j)  (41.103996+0.000000j)
 (0.667108+0.000000j)  (41.918359-0.000000j)  (-26.209703+0.000000j)  (41.112186-0.000000j)
 (0.669561+0.000000j)  (41.939117-0.000000j)  (-26.200694-0.000000j)  (41.120238+0.000000j)
 (0.672013+0.000000j)  (41.959707-0.000000j)  (-26.191581-0.000000j)  (41.128148-0.000000j)
 (0.674466+0.000000j)  (41.980129+0.000000j)  (-26.182365+0.000000j)  (41.135917+0.000000j)
