"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.605024580E-1,1.053012908E-3,1.535463333E-1,-4.149055481E-2,1.590567554E-1
5.655233950E-1,5.872130394E-3,1.269764304E-1,-2.245616913E-2,1.290804994E-1
5.705443330E-1,1.070083305E-2,9.135478735E-2,-4.155540466E-2,1.009309499E-1
5.755652700E-1,1.547804102E-2,5.145311356E-2,-6.048107147E-2,8.090088167E-2
5.805862080E-1,1.551482826E-2,2.158224583E-2,-7.924270630E-2,8.358175478E-2
5.856071450E-1,2.015066892E-2,6.227314472E-3,-6.463336945E-2,6.798750877E-2
5.906280830E-1,5.984295160E-3,-1.367241144E-2,-3.594589233E-2,3.892112279E-2
5.956490200E-1,-3.304712474E-3,-2.389913797E-2,-4.073238373E-2,4.734149348E-2
6.006699580E-1,-3.081656992E-3,-5.305826664E-2,-2.649688721E-2,5.938654141E-2
6.056908950E-1,-2.182716504E-2,-7.715666294E-2,-2.188682556E-2,8.311804198E-2
6.107118330E-1,-2.623080090E-2,-9.629571438E-2,-3.085136414E-3,9.985207855E-2
6.157327700E-1,-2.579520270E-2,-1.106787324E-1,1.556205750E-2,1.147055008E-1
6.207537080E-1,-3.961142153E-2,-1.154502034E-1,1.980781555E-2,1.236534017E-1
6.257746450E-1,-3.437155113E-2,-1.202400327E-1,2.877044678E-2,1.283230595E-1
6.307955830E-1,-3.867285699E-2,-1.061674953E-1,3.767204285E-2,1.191062959E-1
6.358165200E-1,-3.824957833E-2,-1.017706990E-1,5.125141144E-2,1.201957262E-1
6.408374580E-1,-3.787479922E-2,-9.747171402E-2,6.947135925E-2,1.255448335E-1
6.458583950E-1,-4.337608814E-3,-1.169520617E-1,7.329940796E-2,1.380920084E-1
6.508793330E-1,-1.371622458E-2,-1.031449437E-1,5.337429047E-2,1.169437006E-1
6.559002700E-1,-8.763279766E-3,-8.941090107E-2,5.260944366E-2,1.041098356E-1
6.609212080E-1,-8.657187223E-3,-8.070135117E-2,5.187034607E-2,9.632335009E-2
6.659421450E-1,-1.798842475E-2,-7.687032223E-2,4.164981842E-2,8.925994196E-2
6.709630830E-1,-2.250290290E-2,-6.837379932E-2,2.202415466E-2,7.527562993E-2
6.759840200E-1,-1.278120279E-2,-5.519962311E-2,2.630519867E-2,6.246856020E-2
6.810049580E-1,-3.084186465E-3,-7.067781687E-2,1.156234741E-2,7.168370722E-2
6.860258950E-1,-2.969682217E-3,-8.607852459E-2,-7.800102234E-3,8.648221206E-2
6.910468330E-1,6.589181721E-3,-7.291144133E-2,-2.699470520E-2,7.802698060E-2
6.960677700E-1,-2.873975784E-3,-8.359658718E-2,-1.278877258E-2,8.461797580E-2
7.010887080E-1,-7.561452687E-3,-9.909611940E-2,-3.435134888E-3,9.944353473E-2
7.061096450E-1,1.993153244E-3,-9.067267179E-2,-1.315689087E-2,9.164392968E-2
7.111305830E-1,-1.702751964E-2,-1.013131142E-1,5.694389343E-3,1.028917373E-1
7.161515200E-1,-7.351610810E-3,-1.119163036E-1,-4.096984863E-3,1.122323059E-1
7.211724580E-1,-1.199731231E-2,-1.320832968E-1,9.950637817E-3,1.329998044E-1
7.261933950E-1,-2.124497294E-2,-1.426886320E-1,2.863979340E-2,1.470769606E-1
