 (0.166749+0.000000j)  (121.210298-5.908323j)  (146.476461+171.592397j)  (178.641908+237.793737j)
 (0.168002+0.000000j)  (92.066559+39.768455j)  (-209.265724+174.683719j)  (-246.370499+479.021999j)
 (0.169256+0.000000j)  (47.320106+91.445053j)  (-172.430404-105.408050j)  (-853.354050-18.792615j)
 (0.170510+0.000000j)  (-51.064321+64.889717j)  (-41.782687-133.520995j)  (-222.335750-927.971526j)
 (0.171764+0.000000j)  (-75.375690-6.858102j)  (127.910453-199.049137j)  (741.070849-228.524877j)
 (0.173017+0.000000j)  (-106.092143-116.535994j)  (384.022985+107.119360j)  (80.759733+473.862997j)
 (0.174271+0.000000j)  (132.560076-321.745162j)  (-3.757525+475.246152j)  (-150.700621-63.509087j)
 (0.175525+0.000000j)  (514.695070+43.850873j)  (-398.532383+99.270133j)  (236.165498+125.880848j)
 (0.176779+0.000000j)  (80.166314+520.776903j)  (-103.979899-281.611491j)  (-124.196589+332.182174j)
 (0.178032+0.000000j)  (-334.081474+97.691025j)  (285.225133-113.780835j)  (-120.589985+98.348784j)
 (0.179286+0.000000j)  (44.769462-105.196410j)  (257.506173+345.264111j)  (-150.090665+328.632977j)
 (0.180540+0.000000j)  (-38.418246+217.751480j)  (-279.586438+431.198666j)  (-555.108028+119.942139j)
 (0.181794+0.000000j)  (-303.887418-110.950900j)  (-431.970494-126.215252j)  (-393.728707-367.673993j)
 (0.183047+0.000000j)  (199.026539-295.051030j)  (65.688375-291.453665j)  (111.963104-469.781293j)
 (0.184301+0.000000j)  (299.152586+332.019040j)  (236.711872+111.322811j)  (583.784842+88.765089j)
 (0.185555+0.000000j)  (-441.792798+370.971394j)  (-91.770443+341.760564j)  (-114.146907+908.551910j)
 (0.186809+0.000000j)  (-485.402214-451.842204j)  (-463.639955+13.251475j)  (-1160.140147+13.292289j)
 (0.188062+0.000000j)  (330.568279-558.978810j)  (-67.623527-507.491140j)  (-140.542718-1064.264848j)
 (0.189316+0.000000j)  (508.545868+62.593417j)  (480.245555+3.030956j)  (757.136694-101.774652j)
 (0.190570+0.000000j)  (279.490120+213.738762j)  (-154.466351+363.499697j)  (55.132389+427.787772j)
 (0.191824+0.000000j)  (270.775880+464.588830j)  (-142.822340-363.871840j)  (-16.747571+86.771144j)
 (0.193077+0.000000j)  (-353.596186+658.109843j)  (574.871032+53.282945j)  (8.779899+421.353924j)
 (0.194331+0.000000j)  (-662.368611-107.648205j)  (-99.473489+595.973301j)  (-564.613911+275.092984j)
 (0.195585+0.000000j)  (10.314344-312.120885j)  (-266.778109-77.239643j)  (-349.123336-352.568399j)
 (0.196839+0.000000j)  (-51.932948+151.041022j)  (180.055457+236.035166j)  (236.270301-124.022694j)
 (0.198092+0.000000j)  (-279.839280-163.241574j)  (-532.611729+359.185279j)  (46.497570+456.072546j)
 (0.199346+0.000000j)  (80.430171-164.157292j)  (-346.356617-477.676761j)  (-525.485755+422.135372j)
 (0.200600+0.000000j)  (-162.419834+29.770419j)  (315.358919-39.120111j)  (-737.463857-9.836802j)
 (0.201854+0.000000j)  (-98.262313-421.932423j)  (-305.308372+303.999363j)  (-674.352312-380.685266j)
 (0.203107+0.000000j)  (438.584249-157.765906j)  (-433.924370-365.060284j)  (-383.157789-763.572611j)
 (0.204361+0.000000j)  (79.642586+280.318838j)  (84.499663-510.284124j)  (243.273793-737.271895j)
 (0.205615+0.000000j)  (-148.353574-96.568061j)  (393.245965-324.915203j)  (430.899178-211.208967j)
 (0.206869+0.000000j)  (189.701480-138.652997j)  (583.242984+125.515378j)  (188.034232-57.819547j)
 (0.208122+0.000000j)  (211.599136+106.878991j)  (129.926008+542.896457j)  (270.365889-86.515042j)
 (0.209376+0.000000j)  (115.538957+248.144631j)  (-283.092745+213.553022j)  (302.362764+196.452454j)
 (0.210630+0.000000j)  (-180.931528+328.452494j)  (-118.227343-49.141318j)  (4.445358+369.040280j)
 (0.211884+0.000000j)  (-392.542701-48.540069j)  (-4.996952-10.323122j)  (-295.095727+180.945618j)
 (0.213137+0.000000j)  (-33.255496-296.077676j)  (8.931414+50.695409j)  (-169.213525-147.420688j)
 (0.214391+0.000000j)  (168.062179+33.914049j)  (-76.973426+30.039163j)  (141.068891+91.593670j)
 (0.215645+0.000000j)  (-190.813143+178.784397j)  (68.930282-90.502577j)  (-312.933138+398.146082j)
 (0.216899+0.000000j)  (-338.498110-308.541533j)  (170.214647+252.162403j)  (-625.134563-218.950064j)
 (0.218152+0.000000j)  (316.958422-496.856790j)  (-362.999019+282.846594j)  (-23.061962-453.580746j)
 (0.219406+0.000000j)  (506.425570+301.124812j)  (-292.272051-356.768823j)  (1.342189-31.787952j)
 (0.220660+0.000000j)  (-360.990894+369.805487j)  (328.260484-206.559020j)  (-173.240321-304.553918j)
 (0.221914+0.000000j)  (-174.956751-475.333019j)  (126.456445+304.586391j)  (340.030866-283.946265j)
 (0.223167+0.000000j)  (587.353010+18.040018j)  (-256.082726+97.804551j)  (232.422207+317.921537j)
 (0.224421+0.000000j)  (-153.880935+660.065703j)  (-60.281271-211.407169j)  (-258.168181+234.630048j)
 (0.225675+0.000000j)  (-681.213573-151.823056j)  (252.771107-18.901600j)  (-263.085183+4.268781j)
 (0.226929+0.000000j)  (-8.861499-590.874582j)  (45.935017+339.992894j)  (-320.250481-71.189652j)
 (0.228182+0.000000j)  (332.026905-178.037285j)  (-338.332593+120.390723j)  (-249.869127-334.012709j)
 (0.229436+0.000000j)  (180.048076+26.247495j)  (-128.630279-174.870119j)  (62.338162-296.537012j)
 (0.230690+0.000000j)  (122.380363+14.150861j)  (-39.167156-32.440896j)  (77.145859-55.045034j)
 (0.231944+0.000000j)  (121.667804+89.577279j)  (-73.158069-205.299809j)  (-100.372596+14.979265j)
 (0.233197+0.000000j)  (-67.196509+108.452357j)  (313.726318-91.884221j)  (-197.335110-164.269557j)
 (0.234451+0.000000j)  (-45.653512-187.744951j)  (37.742254+389.010978j)  (46.778965-269.585640j)
 (0.235705+0.000000j)  (362.158180-51.921406j)  (-409.560314-9.467561j)  (128.605774+53.293890j)
 (0.236959+0.000000j)  (112.009074+416.492385j)  (2.786889-356.297591j)  (-224.982811+64.087237j)
 (0.238212+0.000000j)  (-310.503579+146.897625j)  (239.275747-85.154337j)  (-134.545450-209.779796j)
 (0.239466+0.000000j)  (-150.655760-111.043792j)  (227.967482+71.772479j)  (-47.388212-55.423672j)
 (0.240720+0.000000j)  (-139.871876-152.792308j)  (118.543760+335.059430j)  (-197.686379-205.377258j)
 (0.241974+0.000000j)  (89.362106-346.593905j)  (-282.583691+251.183539j)  (156.721062-263.003427j)
 (0.243227+0.000000j)  (343.322775-80.624343j)  (-202.379661-94.300755j)  (41.081270+185.420222j)
 (0.244481+0.000000j)  (223.449922+37.929587j)  (-79.219030+14.592965j)  (-376.907669-140.546065j)
 (0.245735+0.000000j)  (371.958182+172.213609j)  (-235.921605-116.489652j)  (100.740659-429.212740j)
 (0.246989+0.000000j)  (21.008374+543.426826j)  (20.771693-300.469161j)  (203.770368+76.990110j)
 (0.248242+0.000000j)  (-357.867473+127.173939j)  (185.035934-120.766398j)  (-204.727129-11.013099j)
 (0.249496+0.000000j)  (-46.047109-25.025780j)  (233.937848-39.810642j)  (38.073121-282.172371j)
 (0.250750+0.000000j)  (-215.526633+42.638206j)  (250.134336+267.572173j)  (182.513246+51.631957j)
 (0.252004+0.000000j)  (46.486968-307.100270j)  (-231.113808+313.305678j)  (-166.173501+117.038367j)
 (0.253257+0.000000j)  (337.122507+290.221860j)  (-217.633740-189.609798j)  (-216.329496-200.532157j)
 (0.254511+0.000000j)  (-489.086592+316.130221j)  (193.800000-65.931876j)  (47.029773-246.765984j)
 (0.255765+0.000000j)  (-191.473874-499.249708j)  (-28.470925+169.032350j)  (58.745586-45.881432j)
