"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.174130350E-1,3.531447425E-2,2.675520480E-1,9.800065994E0,9.803781143E0
3.199323570E-1,3.531447425E-2,2.675520480E-1,9.780912399E0,9.784634821E0
3.224516800E-1,3.052607179E-2,2.771288455E-1,9.780912399E0,9.784885263E0
3.249711070E-1,2.573766746E-2,2.675520480E-1,9.795277596E0,9.798964726E0
3.274905350E-1,3.052607179E-2,2.771288455E-1,9.804854393E0,9.808817559E0
3.300099620E-1,2.094926499E-2,2.819172442E-1,9.795277596E0,9.799356070E0
3.325294410E-1,2.094926499E-2,2.723404467E-1,9.790489197E0,9.794298694E0
3.350489720E-1,2.573766746E-2,2.579752207E-1,9.800065994E0,9.803494639E0
3.375685550E-1,2.573766746E-2,2.675520480E-1,9.795277596E0,9.798964726E0
3.400881910E-1,3.531447425E-2,2.723404467E-1,9.804854393E0,9.808699511E0
3.426078780E-1,3.531447425E-2,2.579752207E-1,9.795277596E0,9.798737750E0
3.451275660E-1,4.010287672E-2,2.531868219E-1,9.790489197E0,9.793844522E0
3.476472530E-1,4.010287672E-2,2.531868219E-1,9.776124001E0,9.779484254E0
3.501669410E-1,3.531447425E-2,2.436100245E-1,9.785700798E0,9.788796303E0
3.526865760E-1,3.052607179E-2,2.483984232E-1,9.780912399E0,9.784113704E0
3.552060550E-1,4.010287672E-2,2.436100245E-1,9.780912399E0,9.784027874E0
3.577254300E-1,2.573766746E-2,2.388216257E-1,9.790489197E0,9.793435399E0
3.602446490E-1,3.052607179E-2,2.292448133E-1,9.785700798E0,9.788433232E0
3.627638680E-1,3.052607179E-2,2.244564146E-1,9.795277596E0,9.797896493E0
3.652830870E-1,3.052607179E-2,2.292448133E-1,9.795277596E0,9.798007359E0
3.678023050E-1,3.052607179E-2,2.148796022E-1,9.795277596E0,9.797681780E0
3.703215240E-1,2.094926499E-2,2.148796022E-1,9.800065994E0,9.802443859E0
3.728407430E-1,2.573766746E-2,2.053027898E-1,9.790489197E0,9.792675343E0
3.753599620E-1,4.010287672E-2,2.100912035E-1,9.795277596E0,9.797612450E0
3.778791800E-1,2.094926499E-2,2.100912035E-1,9.790489197E0,9.792765488E0
3.803983990E-1,1.616086066E-2,2.100912035E-1,9.800065994E0,9.802330997E0
3.829176180E-1,3.531447425E-2,2.244564146E-1,9.795277596E0,9.797912582E0
3.854368890E-1,2.573766746E-2,2.148796022E-1,9.795277596E0,9.797668031E0
