"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.180530730E-1,1.310825497E-1,1.286883354E-1,9.790489197E0,9.792212316E0
4.205728650E-1,1.310825497E-1,1.191115379E-1,9.800065994E0,9.801666373E0
4.230926570E-1,1.310825497E-1,1.238999367E-1,9.814431190E0,9.816088499E0
4.256124480E-1,1.502361596E-1,1.095347255E-1,9.814431190E0,9.816192151E0
4.281322400E-1,1.502361596E-1,1.095347255E-1,9.814431190E0,9.816192151E0
4.306518230E-1,1.646013707E-1,1.191115379E-1,9.809642792E0,9.811746678E0
4.331714070E-1,1.598129570E-1,1.191115379E-1,9.800065994E0,9.802092697E0
4.356909900E-1,1.741781682E-1,1.143231317E-1,9.800065994E0,9.802280413E0
4.382105730E-1,1.789665818E-1,1.143231317E-1,9.800065994E0,9.802366669E0
4.407301570E-1,1.789665818E-1,1.095347255E-1,9.814431190E0,9.816673901E0
4.432497400E-1,1.837549806E-1,9.995792061E-2,9.809642792E0,9.811872868E0
4.457693750E-1,1.741781682E-1,1.143231317E-1,9.795277596E0,9.797493097E0
4.482890630E-1,1.981201917E-1,1.238999367E-1,9.804854393E0,9.807638476E0
4.508088020E-1,1.933317930E-1,1.143231317E-1,9.809642792E0,9.812213749E0
4.533285940E-1,1.885433793E-1,1.095347255E-1,9.790489197E0,9.792917092E0
4.558484380E-1,1.933317930E-1,1.191115379E-1,9.780912399E0,9.783548032E0
4.583683340E-1,1.837549806E-1,1.334767491E-1,9.795277596E0,9.797910242E0
4.608883340E-1,1.837549806E-1,1.286883354E-1,9.776124001E0,9.778697615E0
4.634084380E-1,1.933317930E-1,1.382651478E-1,9.761758804E0,9.764652036E0
4.659286460E-1,1.837549806E-1,1.286883354E-1,9.780912399E0,9.783484755E0
4.684489070E-1,1.789665818E-1,1.238999367E-1,9.766547203E0,9.768972541E0
4.709692190E-1,1.885433793E-1,1.238999367E-1,9.771335602E0,9.773939801E0
4.734895840E-1,1.981201917E-1,1.334767491E-1,9.747393608E0,9.750320498E0
4.760099480E-1,1.933317930E-1,1.526303589E-1,9.752182007E0,9.755292261E0
4.785303130E-1,1.741781682E-1,1.478419602E-1,9.761758804E0,9.764431895E0
4.810504690E-1,1.741781682E-1,1.574187577E-1,9.766547203E0,9.769368606E0
4.835701570E-1,1.741781682E-1,1.526303589E-1,9.756970406E0,9.759718518E0
4.860898440E-1,1.598129570E-1,1.526303589E-1,9.766547203E0,9.769047061E0
4.886094800E-1,1.693897694E-1,1.430535465E-1,9.780912399E0,9.783424992E0
4.911291150E-1,1.454477459E-1,1.526303589E-1,9.785700798E0,9.787971760E0
4.936487500E-1,1.358709484E-1,1.382651478E-1,9.785700798E0,9.787620665E0
4.961683860E-1,1.454477459E-1,1.430535465E-1,9.790489197E0,9.792614466E0
4.986880730E-1,1.310825497E-1,1.669955701E-1,9.785700798E0,9.788003385E0
5.012077610E-1,1.262941360E-1,1.526303589E-1,9.785700798E0,9.787705877E0
5.037275000E-1,1.215057373E-1,1.622071713E-1,9.771335602E0,9.773437177E0
5.062472920E-1,1.167173311E-1,1.574187577E-1,9.766547203E0,9.768513084E0
5.087671360E-1,1.262941360E-1,1.430535465E-1,9.785700798E0,9.787561220E0
5.112870320E-1,1.358709484E-1,1.526303589E-1,9.795277596E0,9.797408847E0
5.138069270E-1,1.454477459E-1,1.430535465E-1,9.776124001E0,9.778252392E0
5.163268750E-1,1.358709484E-1,1.334767491E-1,9.785700798E0,9.787554192E0
5.188468230E-1,1.310825497E-1,1.382651478E-1,9.814431190E0,9.816280328E0
5.213667710E-1,1.215057373E-1,1.334767491E-1,9.804854393E0,9.806515658E0
5.238867190E-1,1.262941360E-1,1.430535465E-1,9.828796387E0,9.830648653E0
5.264066670E-1,1.215057373E-1,1.286883354E-1,9.824007988E0,9.825602133E0
5.289266150E-1,1.215057373E-1,1.334767491E-1,9.857526779E0,9.859179169E0
5.314465630E-1,1.167173311E-1,1.382651478E-1,9.862315178E0,9.863974901E0
5.339665630E-1,1.119289324E-1,1.143231317E-1,9.847949982E0,9.849249550E0
5.364866150E-1,1.215057373E-1,1.143231317E-1,9.800065994E0,9.801485954E0
5.390067190E-1,1.358709484E-1,1.286883354E-1,9.780912399E0,9.782702539E0
5.415268230E-1,1.502361596E-1,1.238999367E-1,9.771335602E0,9.773275886E0
5.440469270E-1,1.502361596E-1,1.286883354E-1,9.766547203E0,9.768550346E0
5.465670320E-1,1.550245583E-1,1.334767491E-1,9.785700798E0,9.787838820E0
5.490871360E-1,1.789665818E-1,1.478419602E-1,9.771335602E0,9.774092578E0
5.516072400E-1,1.550245583E-1,1.382651478E-1,9.776124001E0,9.778330652E0
5.541273440E-1,1.502361596E-1,1.382651478E-1,9.747393608E0,9.749531799E0
5.566474480E-1,1.454477459E-1,1.286883354E-1,9.752182007E0,9.754115523E0
5.591675520E-1,1.550245583E-1,1.334767491E-1,9.771335602E0,9.773476766E0
5.616876570E-1,1.598129570E-1,1.334767491E-1,9.795277596E0,9.797490464E0
5.642076570E-1,1.502361596E-1,1.286883354E-1,9.800065994E0,9.802062287E0
5.667272920E-1,1.502361596E-1,1.478419602E-1,9.780912399E0,9.783183302E0
5.692468230E-1,1.741781682E-1,1.574187577E-1,9.771335602E0,9.774155623E0
5.717663550E-1,1.598129570E-1,1.526303589E-1,9.766547203E0,9.769047061E0
5.742858340E-1,1.502361596E-1,1.574187577E-1,9.756970406E0,9.759396655E0
5.768053130E-1,1.646013707E-1,1.669955701E-1,9.747393608E0,9.750213499E0
5.793247920E-1,1.406593472E-1,1.574187577E-1,9.742605209E0,9.744892097E0
5.818442710E-1,1.502361596E-1,1.669955701E-1,9.752182007E0,9.754768696E0
5.843638020E-1,1.693897694E-1,1.813607812E-1,9.747393608E0,9.750552127E0
5.868833860E-1,1.646013707E-1,1.717839688E-1,9.752182007E0,9.755083661E0
5.894030210E-1,1.646013707E-1,1.669955701E-1,9.752182007E0,9.755000514E0
5.919227090E-1,1.837549806E-1,1.813607812E-1,9.733028412E0,9.736452110E0
5.944424480E-1,1.502361596E-1,1.909375787E-1,9.737816811E0,9.740847206E0
5.969622400E-1,1.454477459E-1,1.909375787E-1,9.747393608E0,9.750348422E0
5.994820840E-1,1.262941360E-1,1.957259923E-1,9.747393608E0,9.750176461E0
6.020019800E-1,1.358709484E-1,2.053027898E-1,9.756970406E0,9.760075904E0
6.045219270E-1,1.358709484E-1,2.053027898E-1,9.756970406E0,9.760075904E0
6.070419270E-1,1.262941360E-1,1.909375787E-1,9.766547203E0,9.769229838E0
6.095619800E-1,1.358709484E-1,2.005143911E-1,9.800065994E0,9.803058728E0
6.120820840E-1,1.358709484E-1,1.957259923E-1,9.800065994E0,9.802961954E0
6.146022400E-1,1.262941360E-1,2.100912035E-1,9.780912399E0,9.783983641E0
